"Rank","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Mean_Abundance_Percent"
27,"38eaa8f3d127290bf06b9a82171c37c0","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334","Proteus",NA,0.5472
28,"d758514a21e2eede34397feb57e0fe75","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas",NA,0.4794
29,"720bbb0411edd2b97a8cc3d66e3b47e0","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.4609
30,"5214613c91755d00030b7e498d54bc6d","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866",NA,NA,NA,0.3387
31,"53ae67ddcbf678181fab8d552e8dc627","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Tissierellaceae",NA,NA,0.3289
32,"e6835aaeb00e6f3e0e1d9ddbea47879e","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides_B_862066","Parabacteroides_B_862066 gordonii",0.287
33,"6a05cb78b24c21f8da08940d2ccf7b99","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,0.283
34,"28d7941cd715d10eff3f680db6297bc2","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae",NA,NA,0.2738
35,"c2d798025bb5abf7fe175ee6c89f119b","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B","Vagococcus_B fluvialis",0.2445
36,"df4c03a471633d76e7e2f5beb8a78af7","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Sporosarcina",NA,0.2273
37,"4120f78e3d25b64dfc2df8c9e795391b","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334","Morganella",NA,0.202
38,"f7a386451c2bffd441e78034d14ea0e0","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Tissierellaceae",NA,NA,0.188
39,"feb43bd166d4c14b49ebc8371eac1faa","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Christensenellales","Christensenellaceae","Christensenella",NA,0.1727
40,"029a7e836183a7316780139d9fff9ecf","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Acutalibacteraceae",NA,NA,0.1697
41,"89b5eefac504f573a7ef58932dc9617c","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Tissierellaceae",NA,NA,0.1613
42,"afeb5f537f01e0ae2197638255f15282","d__Bacteria","Bacillota_I","Bacilli_A","Erysipelotrichales","Erysipelotrichaceae","Breznakia","Breznakia pachnodae",0.1613
43,"639f81ad3ffa21871747f7b1887767ea","d__Bacteria","Desulfobacterota_G_459543","Desulfovibrionia","Desulfovibrionales",NA,NA,NA,0.1563
44,"d46e2205f0c6ecf67b51f83d111c509c","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_725029","Escherichia",NA,0.1545
45,"edc84ea9f8f1d2d32a03798797d50c5c","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Tissierellaceae",NA,NA,0.1508
46,"d4bf14e894629be2f637773608db6866","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732679",NA,NA,0.1487
47,"4d72007c70f4abc0bf9e8fe8b826d07d","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_725029",NA,NA,0.1316
48,"c905e4a7c137630546bd4306e2cd16f6","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,0.1265
49,"5c90c1871672ce1632be5add2ece9f01","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea faecisuis",0.1215
50,"b95cb04e545fbdec4dc18a3e1f1ff232","d__Bacteria","Desulfobacterota_G_459543","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Frigididesulfovibrio_A_446422","Frigididesulfovibrio cuneatus",0.1185
