"Insect_Species","Rank","ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Mean_Abundance_Percent"
"Chrysomya rufifacies",25,"d87f3481d74c9bf206a0507765b3a651","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales_A_660879","Moraxellaceae","Acinetobacter",NA,0.5637
"Chrysomya rufifacies",26,"e6484c19c680bde0ffa16f2a1a5d36ea","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334","Moellerella","Moellerella wisconsensis",0.3823
"Chrysomya rufifacies",27,"6ba43acb03ae795b3e7e31f2be946006","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Leuconostoc_B",NA,0.341
"Chrysomya rufifacies",28,"622da4e8b3fc340bb1b5b54d8b6ddfaf","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,0.3234
"Chrysomya rufifacies",29,"e8c4470cea2d0aad86e0fbaa03d2f750","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales",NA,NA,NA,0.3096
"Chrysomya rufifacies",30,"4e0481f68111cd3463386f70247922bb","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_B_877923","Weeksellaceae","Chryseobacterium_A_796612",NA,0.2925
"Chrysomya rufifacies",31,"6755be0886d71fa083effb1d8a810d69","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales",NA,NA,NA,0.2841
"Chrysomya rufifacies",32,"3ebe761bfb1238c87195d431f41bf976","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales_A_660879","Moraxellaceae","Acinetobacter",NA,0.272
"Chrysomya rufifacies",33,"3073690a8233475dcf5f6d739def1bb5","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea sp009740415",0.2705
"Chrysomya rufifacies",34,"c22b16cc6108c04f29fea3b6d4c81571","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales_A_660879","Moraxellaceae","Acinetobacter",NA,0.2609
"Chrysomya rufifacies",35,"25fe23e989514e818f4bc1f680ad6da1","d__Bacteria","Bacillota_I","Bacilli_A","Exiguobacterales","Exiguobacteraceae","Exiguobacterium_A",NA,0.2491
"Chrysomya rufifacies",36,"f212ad3759f4319aaa51f9a2dc5be324","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae",NA,NA,0.2193
"Chrysomya rufifacies",37,"549d269e41c4d2ccf288e69078402321","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Weissella","Weissella tructae",0.2119
"Chrysomya rufifacies",38,"40788e6b1c992e5abd6d9fdb0b067706","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconobacter_A_506064",NA,0.1889
"Chrysomya rufifacies",39,"e1516e233c9c5e2e0e3c20c0c195cd95","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Lactiplantibacillus",NA,0.1745
"Chrysomya rufifacies",40,"b3d2cc3b9f0184830bec2ef73bcc6166","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Lactococcus_A_343473",NA,0.1616
"Chrysomya rufifacies",41,"cbe0cf6479977d4c437b79eb5506c0ca","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Gluconobacter_A_506042","Gluconobacter_A thailandicus",0.1457
"Chrysomya rufifacies",42,"e1837e784fee184ed82d4a9a6cc1d4ab","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales",NA,NA,NA,0.1444
"Chrysomya rufifacies",43,"66a32e895e07c54e0ed829177ee53ab5","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_725029",NA,NA,0.1386
"Chrysomya rufifacies",44,"b250d27301547aede6c1d52ce67e6e2b","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Levilactobacillus","Levilactobacillus brevis",0.1343
"Chrysomya rufifacies",45,"3b94c19ef326eea0918e1c3d244c999c","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866",NA,NA,NA,0.1293
"Chrysomya rufifacies",46,"cc761daf51f27c423da57f3f1f0ff5cc","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_680892","Pantoea_680069",NA,0.1265
"Chrysomya rufifacies",47,"f84e1703bbbc3a7c5c52e833a32bdec8","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales_B_877923","Flavobacteriaceae","Flavobacterium","Flavobacterium odoratimimum",0.1154
"Chrysomya rufifacies",48,"de68ebfc2f017e2dd2615115e3073d50","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas",NA,0.1039
"Chrysomya rufifacies",49,"83f20fcc114379892fdd9cfcc3a617b9","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Commensalibacter","Commensalibacter papalotli",0.0991
"Chrysomya rufifacies",50,"737c098d1007948d40e6cbaf904b72d9","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B","Vagococcus_B fluvialis",0.0989
"Cochliomyia macellaria",1,"11f0558dca37009cbf1a6083b0b658e5","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334",NA,NA,23.5789
"Cochliomyia macellaria",2,"e20080c3550b1318bbb29e84d651c014","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,12.7042
"Cochliomyia macellaria",3,"6ea03666b2fa8f4e14a35dabfea10c75","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334","Providencia_C","Providencia_C stuartii",7.8579
"Cochliomyia macellaria",4,"622da4e8b3fc340bb1b5b54d8b6ddfaf","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,2.7048
"Cochliomyia macellaria",5,"190a049caad3a0453339204032c4e5e4","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales_A","Anaplasmataceae_550576","Wolbachia","Wolbachia pipientis_A_550493",2.5311
"Cochliomyia macellaria",6,"04524511556ae43c41266c364d115459","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,2.448
"Cochliomyia macellaria",7,"3073690a8233475dcf5f6d739def1bb5","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea sp009740415",1.6564
"Cochliomyia macellaria",8,"569653b1659271a290facfcedd0de061","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Enterococcaceae","Enterococcus_D",NA,1.5199
"Cochliomyia macellaria",9,"f4206b8c3d4e8f3bd54f960952e0f6be","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000","Hathewaya","Hathewaya limosa",1.5136
"Cochliomyia macellaria",10,"588940e0d8aa3304b2e40c4f46195ce6","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Tissierellaceae",NA,NA,1.4892
"Cochliomyia macellaria",11,"b4bb370a59f2637d406ccc0f5a1b2a1e","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334","Morganella",NA,1.3896
"Cochliomyia macellaria",12,"12b5c766540f68c8245bc01a1de4d781","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales_A_650611","Pseudomonadaceae","Thiopseudomonas","Thiopseudomonas alkaliphila",1.2658
"Cochliomyia macellaria",13,"d353d8f820161b7962514034d5d61ec6","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Peptoniphilaceae","Miniphocaeibacter",NA,1.2546
"Cochliomyia macellaria",14,"2ef1e51ab1cf99a3c6417b05a060830e","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA,1.0411
"Cochliomyia macellaria",15,"9908fffab7ed4f3bec44cda2f5084d49","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Enterococcaceae",NA,NA,0.9834
"Cochliomyia macellaria",16,"21610dcbd05af4529071c39e2997cf17","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Metalysinibacillus",NA,0.9448
"Cochliomyia macellaria",17,"9bdcaa83879589ae4241b8699d297664","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.9362
"Cochliomyia macellaria",18,"b458f0d5da21dc8f9182058578c9e34f","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas",NA,0.8763
"Cochliomyia macellaria",19,"95fdd816723ca482a5caba10bea171c8","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Ligilactobacillus",NA,0.7708
"Cochliomyia macellaria",20,"e147f17187ee6e0d8e84bdd370bfb053","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus amylovorus",0.7205
"Cochliomyia macellaria",21,"1261d491facd8509f0e41566cee612cf","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales","Tissierellaceae","Tissierella_A","Tissierella_A creatinophila",0.7067
"Cochliomyia macellaria",22,"40a871dd7ec1c44386128af2f352d393","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000","Clostridium_H_221916","Clostridium_H_221916 novyi",0.6967
"Cochliomyia macellaria",23,"0e161099b2770fd8e02dca831d47f3bb","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,0.6869
"Cochliomyia macellaria",24,"69cb94bc7147e79c931c6c3fe7c5c4b1","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas","Wohlfahrtiimonas chitiniclastica",0.6758
"Cochliomyia macellaria",25,"720bbb0411edd2b97a8cc3d66e3b47e0","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.6233
"Cochliomyia macellaria",26,"807ab4dce101a0cca3e66c559d190b9a","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921","Peptacetobacter","Peptacetobacter hiranonis",0.619
"Cochliomyia macellaria",27,"04edaa963304c466674c30f9f9bb087e","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921",NA,NA,0.5952
"Cochliomyia macellaria",28,"c71a0b723402b8d3e22b6af121320ea5","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,0.5898
"Cochliomyia macellaria",29,"d016c583e11159a52458a1f718e92cf4","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Tissierellales",NA,NA,NA,0.5557
"Cochliomyia macellaria",30,"e8c4470cea2d0aad86e0fbaa03d2f750","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales",NA,NA,NA,0.5528
"Cochliomyia macellaria",31,"e0fc7e9a421580cbfcfa30cfa0917791","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae","Gemmiger_A_73129",NA,0.5456
"Cochliomyia macellaria",32,"6755be0886d71fa083effb1d8a810d69","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales",NA,NA,NA,0.5378
"Cochliomyia macellaria",33,"737c098d1007948d40e6cbaf904b72d9","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B","Vagococcus_B fluvialis",0.5143
"Cochliomyia macellaria",34,"9209e4a08eddc573938ddc57af7b023b","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000","Clostridium_H_221916","Clostridium_H_221916 haemolyticum",0.489
"Cochliomyia macellaria",35,"7b46269976203c4b677141e236344faf","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000","Clostridium_T","Clostridium_T cagae",0.4888
"Cochliomyia macellaria",36,"9580aa8a52ec18a4e92e701cdb595faa","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Clostridiales","Clostridiaceae_222000",NA,NA,0.4787
"Cochliomyia macellaria",37,"c81d2bd60b0b2a355bc6e63534ecc66c","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Lachnospirales","Lachnospiraceae","Blautia_A_141780","Blautia_A_141780 ornithocaccae",0.475
"Cochliomyia macellaria",38,"f212ad3759f4319aaa51f9a2dc5be324","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae",NA,NA,0.4621
"Cochliomyia macellaria",39,"683a4c4e73c6d4d7324977e95fab24bc","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Lactococcus_A_343306","Lactococcus_A_343306 raffinolactis",0.4569
"Cochliomyia macellaria",40,"953ec817616f23171de7ec502793806c","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Sporosarcina",NA,0.4314
"Cochliomyia macellaria",41,"c0bd493b8ee3f248ce1b25e83e2b1737","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae",NA,NA,0.4243
"Cochliomyia macellaria",42,"e335f74033bc634af43ee6baa84fa247","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921","Romboutsia_B","Romboutsia_B ilealis",0.4193
"Cochliomyia macellaria",43,"48dafa9df9a8a1243e5257b7a2cffde1","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,0.4189
"Cochliomyia macellaria",44,"1ceb2379fdc16d3bf512df6760eeef7a","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921","Peptostreptococcus","Peptostreptococcus russellii_A",0.3491
"Cochliomyia macellaria",45,"945184b6386c192c0066e0a98a154780","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_725029",NA,NA,0.3413
"Cochliomyia macellaria",46,"7b28c20e72c6c95b3e604f0849245770","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila_D_776786",0.3362
"Cochliomyia macellaria",47,"f17aa6c7d60aa9f234c8ad6f97c17d47","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.33
"Cochliomyia macellaria",48,"b73920b9b356ea1285d2189f17b7f95c","d__Bacteria","Pseudomonadota","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Asaia",NA,0.3249
"Cochliomyia macellaria",49,"289751964e6101e1be5ce28bc3e67263","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_A_595373","Paenalcaligenes","Paenalcaligenes hermetiae",0.3013
"Cochliomyia macellaria",50,"9fec7bdd6bd88e710bd69b15692e54a0","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantarius",0.2963
"Hydrotaea aenescens",1,"04524511556ae43c41266c364d115459","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,38.4519
"Hydrotaea aenescens",2,"69cb94bc7147e79c931c6c3fe7c5c4b1","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas","Wohlfahrtiimonas chitiniclastica",16.8761
"Hydrotaea aenescens",3,"7339301f770131bd35e653eda2ac5106","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria","Ignatzschineria larvae",9.3622
"Hydrotaea aenescens",4,"4005f039311a1265dd8f02e81c3bbd8f","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Enterococcaceae",NA,NA,6.3966
"Hydrotaea aenescens",5,"9908fffab7ed4f3bec44cda2f5084d49","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Enterococcaceae",NA,NA,3.06
"Hydrotaea aenescens",6,"3073690a8233475dcf5f6d739def1bb5","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea sp009740415",2.3704
"Hydrotaea aenescens",7,"df4c03a471633d76e7e2f5beb8a78af7","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Sporosarcina",NA,1.883
"Hydrotaea aenescens",8,"d12fa38dcafa4b438b14e45008e41f1a","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea faecisuis",1.7057
"Hydrotaea aenescens",9,"acccab8e28b5e2cfc41fb8ae64cbf978","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_A","Vagococcus_A lutrae",1.5104
"Hydrotaea aenescens",10,"21610dcbd05af4529071c39e2997cf17","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Metalysinibacillus",NA,1.4641
"Hydrotaea aenescens",11,"c71a0b723402b8d3e22b6af121320ea5","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,1.2283
"Hydrotaea aenescens",12,"e20080c3550b1318bbb29e84d651c014","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,1.1426
"Hydrotaea aenescens",13,"11f0558dca37009cbf1a6083b0b658e5","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334",NA,NA,1.1137
"Hydrotaea aenescens",14,"f40a4e449931e18bbc267129496cc5f4","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.8211
"Hydrotaea aenescens",15,"be506a07415d80a62378735a46b333b5","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,0.5877
"Hydrotaea aenescens",16,"5c90c1871672ce1632be5add2ece9f01","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea faecisuis",0.5512
"Hydrotaea aenescens",17,"04edaa963304c466674c30f9f9bb087e","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Peptostreptococcales","Peptostreptococcaceae_256921",NA,NA,0.5499
"Hydrotaea aenescens",18,"f17aa6c7d60aa9f234c8ad6f97c17d47","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.5498
"Hydrotaea aenescens",19,"f42cc0032892dc469acee18317f2572a","d__Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Corynebacterium",NA,0.5375
"Hydrotaea aenescens",20,"006b143faa42f599250d6c44da161607","d__Bacteria","Bacillota_A_368345","Clostridia_258483","Oscillospirales","Ruminococcaceae",NA,NA,0.5089
"Hydrotaea aenescens",21,"27ff584524331e6747469e8a9977eb89","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Ignatzschineria",NA,0.4725
"Hydrotaea aenescens",22,"4bc01bc8f96d637800d5b73e009374c2","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea faecisuis",0.3913
"Hydrotaea aenescens",23,"6817b79b1d2b9452d2d345224b9c6762","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Savagea","Savagea sp009740415",0.3185
"Hydrotaea aenescens",24,"b1dd6888fee25eab7f8430cdf188cb94","d__Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA,0.3166
"Hydrotaea aenescens",25,"12b5c766540f68c8245bc01a1de4d781","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales_A_650611","Pseudomonadaceae","Thiopseudomonas","Thiopseudomonas alkaliphila",0.2886
"Hydrotaea aenescens",26,"b060079a052d8ef0971aa8faf2adb85c","d__Bacteria","Bacillota_I","Bacilli_A","Staphylococcales","Staphylococcaceae","Staphylococcus",NA,0.2612
"Hydrotaea aenescens",27,"953ec817616f23171de7ec502793806c","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_A","Planococcaceae","Sporosarcina",NA,0.2506
"Hydrotaea aenescens",28,"babe12231a96c828ad12034473c36019","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Cardiobacteriales","Wohlfahrtiimonadaceae","Wohlfahrtiimonas","Wohlfahrtiimonas populi",0.2359
"Hydrotaea aenescens",29,"720bbb0411edd2b97a8cc3d66e3b47e0","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Vagococcaceae","Vagococcus_B",NA,0.2323
"Hydrotaea aenescens",30,"bdf8a26094624622d68509a87fa75ba7","d__Bacteria","Bacillota_I","Bacilli_A","Bacillales_B_310392","Bacillaceae_G","Bacillus_A",NA,0.224
"Hydrotaea aenescens",31,"238f7a0abc2eac3ec4c026cd6363ac86","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales","Lactobacillaceae","Holzapfeliella","Holzapfeliella floricola",0.2204
"Hydrotaea aenescens",32,"b4bb370a59f2637d406ccc0f5a1b2a1e","d__Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_737866","Enterobacteriaceae_A_732334","Morganella",NA,0.2002
"Hydrotaea aenescens",33,"5f858d28e5aa8f082a62e851316363b7","d__Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Corynebacterium","Corynebacterium urealyticum",0.1983
"Hydrotaea aenescens",34,"e8c4470cea2d0aad86e0fbaa03d2f750","d__Bacteria","Bacillota_I","Bacilli_A","Lactobacillales",NA,NA,NA,0.1891
