"Taxon","Community","Degree","Betweenness"
"Savagea.2",1,29,0.00396324986488921
"Savagea.3",2,44,0.0218579234972678
"Sporosarcina",2,20,0.00702576112412178
"Sporosarcina.1",1,27,0.00840689365279529
"Metalysinibacillus",4,37,0.00216177265357593
"Bacillus_A",5,20,0.00318260973998679
"Turicibacter",4,9,0.000120098480754218
"Turicibacter.1",2,23,0.00300246201885546
"Staphylococcus",2,27,0.00372305290338077
"Staphylococcus.1",2,34,0.00378310214375788
"Mammaliicoccus_319278",2,51,0.00252206809583859
"Exiguobacterium_A",2,51,0.00432354530715186
"Phascolarctobacterium_A_39470",4,61,0.00162132949018195
"Anaerosalibacter",1,19,0.00738605656638444
"Mogibacterium_A",2,36,0.00372305290338077
"Mogibacterium_A.1",2,20,0.000240196961508437
"Baileyella",4,39,6.00492403771092e-05
"Peptacetobacter",5,18,0.00138113252867351
"Peptostreptococcus",2,81,0.00798654897015553
"Paraclostridium",1,25,0.0160931964210653
"Romboutsia_B",2,61,0.00900738605656638
"Paraclostridium.1",3,8,0.00168137873055906
"Citroniella",1,6,0.000360295442262655
"Citroniella.1",2,31,0.0161532456614424
"Citroniella.2",2,79,0.0090674352969435
"Miniphocaeibacter",2,86,0.00414339758602054
"Peptoniphilus_B_226807",2,86,0.0235993514682039
"Peptoniphilus_B_226807.1",1,16,0.0013210832882964
"Peptoniphilus_B_226807.2",1,43,0.0167537380652135
"Tissierella_B_224123",5,9,0.00306251125923257
"Tissierella_B_223997",1,17,0.00120098480754218
"Tissierella_A",2,58,0.0173542304689846
"Tissierella_A.1",2,19,0.0103885185852399
"Schnuerera",2,68,0.0218579234972678
"Schnuerera.1",1,13,0.000840689365279529
"Tissierella_A.2",1,11,0.000420344682639765
"CABMKH01",2,14,0.00204167417282171
"CABMKH01.1",1,36,0.00516423467243139
"Tissierella_A.3",2,4,0.000540443163393983
"Tissierella_A.4",3,9,0.00222182189395304
"Tissierella_A.5",2,8,0.000180147721131328
"Tissierella_A.6",1,5,6.00492403771092e-05
"Tissierella_B_224123.1",1,43,0.00252206809583859
"Olsenella_H_405128",2,13,0
"Parafannyhessea",2,27,0.0019816249324446
"Arthrobacter_E_385821",1,17,0.00552453011469405
"Leucobacter",1,41,0.013751276046358
"Leucobacter.1",1,25,0.0058247763165796
"Leucobacter.2",1,48,0.00834684441241818
"Scrofimicrobium",2,2,0
"Bifidobacterium_388775",2,27,0.0058247763165796
"Williamsia_A",1,6,0.000180147721131328
"Corynebacterium",2,6,0.000180147721131328
"Wolbachia",2,16,0.00282231429772413
"Psychrobacter",2,53,0.00990812466222302
"Acinetobacter",2,8,0.00138113252867351
"Acinetobacter.1",2,47,0.00606497327808803
"Acinetobacter.2",2,26,0.0146520146520147
"Acinetobacter.3",2,30,0.0121299465561761
"Acinetobacter.4",2,20,0.00504413619167718
"Acinetobacter.5",1,14,0.00354290518224944
"Acinetobacter.6",1,33,0.00864709061430373
"Acinetobacter.7",2,2,0
"Gilliamella",3,5,0.000360295442262655
"Escherichia",4,64,0.0147120638923918
"Pantoea_680069",2,9,0.00114093556716508
"Providencia_C",1,12,0.00114093556716508
"Proteus",2,6,0
"Morganella",2,20,0.00918753377769771
"Alcaligenes",1,47,0.00696571188374467
"Paenalcaligenes",3,7,0.000240196961508437
"Paenalcaligenes.1",1,66,0.0264817150063052
"Saezia",2,4,0
"Comamonas_F_589250",1,34,0.00606497327808803
"Bdellovibrio",1,7,0.000360295442262655
"Desulfovibrio_446353",4,31,0.00234192037470726
"Desulfovibrio_446353.1",1,63,0.0148922116135231
"Asaia",2,7,0.000480393923016874
"Commensalibacter",2,5,0.000120098480754218
"Camelimonas",1,21,0.00288236353810124
"Paracoccus",1,10,0.000720590884525311
"Aureimonas_A_501505",1,10,0.000480393923016874
"Pseudochrobactrum",1,70,0.024199843871975
"Paenochrobactrum",1,80,0.0227586621029244
"Stenotrophomonas_A_615274",1,8,0.000360295442262655
"Thiopseudomonas",1,10,0.00354290518224944
"Thiopseudomonas.1",5,10,0.000660541644148202
"Thiopseudomonas.2",2,57,0.00924758301807482
"Suttonella_A",2,34,0.00216177265357593
"Entomomonas",5,6,0.000180147721131328
"Wohlfahrtiimonas",1,21,0.0019816249324446
"Wohlfahrtiimonas.1",2,8,0.00150123100942773
"Wohlfahrtiimonas.2",2,32,0.0106287155467483
"Wohlfahrtiimonas.3",5,27,0.0168738365459677
"Wohlfahrtiimonas.4",2,25,0.00264216657659281
"Wohlfahrtiimonas.5",2,21,0.00720590884525311
"Wohlfahrtiimonas.6",2,37,0.0193358554014292
"Ignatzschineria",5,24,0.00300246201885546
"Ignatzschineria.1",1,88,0.0168738365459677
"Ignatzschineria.2",2,73,0.0152525070557857
"Ignatzschineria.3",1,16,0.00678556416261334
"Ignatzschineria.4",2,67,0.0135110790848496
"Ignatzschineria.5",2,21,0.0019215756920675
"Akkermansia",4,32,0.00354290518224944
"Clostridium_H_221916",1,75,0.0330270822074101
"Clostridium_H_221916.1",1,28,0.0039032006245121
"Hathewaya",2,82,0.0143517684501291
"Proteiniclasticum",1,18,0.0025821173362157
"Clostridium_G",1,42,0.0172941812286075
"Clostridium_F",1,7,6.00492403771092e-05
"Clostridium_F.1",3,17,0.0019816249324446
"Clostridium_F.2",1,25,0.00276226505734702
"Clostridium_T",5,8,0.0025821173362157
"Clostridium_T.1",2,57,0.00492403771092296
"Clostridium_T.2",1,21,0.00216177265357593
"Clostridium_T.3",1,19,0.00918753377769771
"Clostridium_T.4",2,59,0.0136912268059809
"Lawsonibacter",4,39,0.000360295442262655
"Lawsonibacter.1",4,40,0.000600492403771092
"Faecousia",4,40,0.00162132949018195
"Limousia",4,50,0.00366300366300366
"Faecalibacterium",4,60,0.00294241277847835
"Faecalibacterium.1",4,43,0.00138113252867351
"Gemmiger_A_73129",4,46,0.000360295442262655
"RUG420",1,22,0.00948777997958326
"Anaerotignum_189125",4,34,0.000960787846033748
"Mediterraneibacter_A_155507",5,22,0.00486398847054585
"Blautia_A_141893",2,33,0.00282231429772413
"Blautia_A_141780",5,16,0.000720590884525311
"Blautia_A_141780.1",4,55,0.00402329910526632
"Blautia_A_141781",5,15,0.00102083708641086
"Blautia_A_141781.1",4,57,0.00918753377769771
"Blautia_A_141781.2",4,48,0.00150123100942773
"Blautia_A_141781.3",5,12,0
"Blautia_A_141781.4",2,38,0.00330270822074101
"CAG-791",2,27,0.00108088632678797
"Ruminococcus_B",5,13,0.000300246201885546
"Dorea_A",4,45,0.000840689365279529
