"ec","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","description"
"2.2.1.6",92227.79,24836.6,30856.61,64878.71,68036.07,74167,45190.25,3830.8,51270.44,43673.37,47395.6,46544.18,35621.83,20545.6,62612.23,72182.75,106878.61,9786.66,67671.05,38893.25,50354.97,"Acetolactate synthase"
"2.1.1.72",41569.99,15912.44,33141.53,43244.58,86350.95,36775.2,32729.5,34912.8,70063.41,23333.99,36834.86,56912.48,58325.74,9784.59,55481.66,48865.09,90884.92,119521.47,61033.49,42031.6,49885.5145,"Site-specific DNA-methyltransferase (adenine-specific)"
"2.8.1.7",41138.93,17528.86,24322.86,41649.87,64098.31,64417,23230.75,63720.2,52671.01,23469.51,38929.62,59793.76,50931.63,9994.63,52706.65,47510.55,94872.93,94060.74,65399.74,46372.55,48841.005,"Cysteine desulfurase"
"3.1.26.4",41291.96,16795.94,20066.27,35572.74,57850.64,63674.8,28700.25,63030.2,63226.3,23359.49,35561.92,63040.46,47244.88,9601.17,49692.73,49395.2,116196.04,66377.47,61169.24,47106.85,47947.7275,"Ribonuclease H"
"2.4.1.129",52149.3,20045.06,27168.42,39485.14,45295.75,67997.6,29570,4296.6,78926.63,28881.46,36617.19,72618.79,46859.56,12188.66,57597.75,47264.19,118689.93,41621.98,69076.93,62306.6,47932.877,"Peptidoglycan glycosyltransferase"
"6.4.1.2",66979.58,25010.41,25769.47,45584.77,47183.21,73826,35952.25,5476.2,43258.51,34522.33,40610.92,67094.16,46241.07,15020.74,57927.07,61343.85,118399.14,17210.79,76499.29,52723.05,47831.6405,"Acetyl-CoA carboxylase"
"2.7.11.1",19088.83,11806.73,24339.33,35377.31,70249.93,55111.1,11456.75,1737.8,83778.33,13956.91,35678.01,48415.81,37610.84,5107.42,45230.31,28019,119453.62,154642.45,66687.89,28356.15,44805.226,"Non-specific serine/threonine protein kinase"
"1.3.5.4",50781.19,16052.82,20950.63,38808.64,47228.66,106816.2,32581.5,62788.4,49375.52,25594.61,34559.53,36014.73,30167.32,12325.73,46311.13,57122.96,104971.15,34765.14,47520.49,25363.5,44004.9925,"Fumarate reductase (quinol)"
"1.17.4.1",52792.82,16644.59,26862.13,40408.47,30483.57,67596.2,22780.5,64399.8,41814.08,26124.66,32779.25,45722.47,30766.4,12168.39,49820.58,40381.65,88758.24,41076.73,56914.06,37114.1,41270.4345,"Ribonucleoside-diphosphate reductase"
"3.6.3.21",17328.06,15993.21,16651.16,15506.11,77162,125816.5,11114.5,3986.4,27738.65,13117.92,22512.73,88008.29,71228.62,4506.97,37308.1,27097.49,92641.33,39037.58,44800.66,69247.2,41040.174,"Transferred entry 7.4.2.1"
"1.10.3.14",63003.29,19450.72,27725.66,42449.54,28628.65,52973,23638.25,63089.8,47069.23,29858.1,33090.66,43288.77,27396.54,14750.76,52360.28,45571.64,97288.82,7162.97,50164.19,40163.25,40456.206,"Transferred entry 7.1.1.7"
"5.99.1.3",29375.59,11841.01,18594.8,29083.94,75631.92,43762,19869.5,62478.8,59203.16,17517.26,27792.26,47497.3,42793.67,6750.02,37621.61,35462.52,87140.01,64785.48,54189.48,31566.7,40147.8515,"Transferred entry 5.6.2.2"
"2.3.1.128",42304.65,18004.36,20838.91,36096.17,38308.1,63752.4,17823.75,2610.6,36474.63,22726.13,33532.54,67849.81,44647.84,12356.9,51270.9,37684.8,67245.27,69555,50876.6,50774.55,39236.6955,"Transferred entry 2.3.1.267"
"5.4.99.23",15835.92,12420.62,13772.66,19551.64,70179.38,54175.4,12531.75,31990.6,83145.92,12684.04,22931.97,66662.02,56652.79,3802.49,37059.77,24174.46,59880.86,66852.21,60040.19,52829.95,38858.732,"23S rRNA pseudouridine(1911/1915/1917) synthase"
"5.99.1.2",28979.27,10999.96,18998.98,29130.17,68189.91,72073,15323.5,33402.8,63164.3,16285.7,26829.94,46068.29,36711.87,9417.94,38568.08,29020.82,69421.17,66823.54,61174.36,31458.3,38602.095,"Transferred entry 5.6.2.1"
"1.6.5.8",74885,16269,29815.5,71430,12360.14,20759,25030,1038,26121.82,33528,47130.58,8662,1293.82,17693.74,61152.5,42774,88265,130503,44872,17325,38545.405,"Transferred entry 7.2.1.1"
"2.3.1.15",40073.16,14275.21,17253.25,35056.84,60247.91,44821,17574.5,62432.8,25998.77,21205.19,29776.49,43876.54,39187.08,9317.83,43200.55,34359.23,73406.15,63907.58,60662.3,34036.6,38533.449,"Glycerol-3-phosphate 1-O-acyltransferase"
"6.3.5.6",5206.09,8708.91,9686.92,16691.21,47429.94,51461.4,1575.25,95839.2,31891.12,7645.7,20757.42,53683.81,46829.51,1511.41,34540.67,21052.1,125954.1,91175.63,52541.14,37695.55,38093.854,"Asparaginyl-tRNA synthase (glutamine-hydrolyzing)"
"6.3.5.7",5206.09,8708.91,9686.92,16691.21,47429.94,51461.4,1575.25,95839.2,31891.12,7645.7,20757.42,53683.81,46829.51,1511.41,34540.67,21052.1,125954.1,91175.63,52541.14,37695.55,38093.854,"Glutaminyl-tRNA synthase (glutamine-hydrolyzing)"
"6.1.1.20",28154.04,11761.68,17939.74,28009.54,52484.42,43765.2,19869.5,64260.8,58497.4,16700.44,27232.76,44971.04,37694,6678.66,37308.12,34795.36,85760.9,64557.68,47347.22,31566.7,37967.76,"Phenylalanine--tRNA ligase"
"3.2.1.86",33112.66,20680.52,5780.68,23668,70662.74,152295.9,10653,1430.2,24959.04,17945.62,23272.45,76386.52,81065.38,9741.27,48224.51,14264.06,21292.59,31135.76,33416.04,58510,37924.847,"6-phospho-beta-glucosidase"
"4.2.99.18",28106.69,12375.35,22227.24,27937.54,48866.77,43138,19965.5,62270.8,58278.94,16721.44,27214.19,42916.5,36130.91,6850.05,36811.75,35223.36,85892.5,64741.59,47714.84,31566.7,37747.533,"DNA-(apurinic or apyrimidinic site) lyase"
"3.6.1.27",29022.01,11934.35,19258.91,32110.44,43873.39,71309.3,11204.75,2793.8,64701.1,15847.26,27437.5,45979.82,32138.79,7026.07,40941.13,23012.98,64963.45,91715.76,49099.53,30979.45,35767.4895,"Undecaprenyl-diphosphate phosphatase"
"1.97.1.4",44328.65,13337.21,20113.95,43776.45,69620.86,39650.6,14020.75,761.3,48432.86,21040.42,34684.39,39504.18,33146.71,9821.07,42401.27,25080.46,38437.73,94509.89,42344.19,33480.15,35424.6545,"[Formate-C-acetyltransferase]-activating enzyme"
"3.1.3.5",25674.15,11610.23,15172.22,28352.24,32465.13,43418.1,12467.5,31773.2,77757.87,16636.15,23083.05,60379.84,33254.71,6774.44,40412.21,20773.78,65875.66,61057.56,47748.15,50949.1,35281.7645,"5'-nucleotidase"
"2.7.2.4",39933.55,11510.6,16307.25,35994.17,46000.84,33503,20276.5,31344.4,69903.98,20271.04,28352.72,32803.94,24091.06,9393.36,37884.62,31184.58,84671.31,59521.49,50280.87,22153.6,35269.144,"Aspartate kinase"
"3.1.11.6",28050.04,11695.68,17762.54,27934.94,52221.42,44342,19784.5,3633.8,58420.6,16959.44,27209.76,44590.01,37539,6626.66,37598.85,34900.69,89344.1,64700.01,47252.1,31468.7,35101.742,"Exodeoxyribonuclease VII"
"3.1.3.48",27555.93,15362.81,10518.92,21649.6,72505.86,60109.1,16549.25,3150.6,70822.88,16957.72,21740.44,59663.88,55656.63,6242.93,33889.49,22499.22,52780.15,33853.6,50459.88,48573.95,35027.142,"Protein-tyrosine-phosphatase"
"3.4.21.89",17443.61,10124.58,13331.85,20388.47,44062.02,81692.6,11414.75,31769.2,59671.35,11487.73,20910.31,57958.28,39735.3,3743.69,33945.86,21368.33,56687.65,63353.08,46328.35,47722.95,34656.998,"Signal peptidase I"
"6.3.5.5",28330.93,12104.21,16339.04,20217.94,69328.74,44028,19886.25,63018.8,50331.12,16178.91,20648.91,50001.43,45853.38,6392.06,29144.65,33190.97,75811.47,11027.2,47468.74,31820.75,34556.175,"Carbamoyl-phosphate synthase (glutamine-hydrolyzing)"
"6.1.1.14",26811.67,11227.74,17144.73,26832.84,39206.1,41644,18887.5,62350.8,39015.71,15851.69,26540.52,40761.63,33692.89,6531.33,35569.54,32631.01,82509.71,63355.61,37648.69,31311.1,34476.2405,"Glycine--tRNA ligase"
"2.1.3.15",40521.2,16939.73,18299.49,31696.27,32970.82,49131.5,21919.5,32959.8,21765.12,21641.94,29195.76,44080.68,31209.87,9294.45,38277.82,39062.49,81651.24,38928.71,50308.66,34088.2,34197.1625,"Acetyl-CoA carboxytransferase"
"2.7.6.5",28345.44,11684.02,16711.67,24567.87,65959.15,43376.8,19797.5,2461.8,54724.16,16186.26,24299.83,47963.22,44528.32,6499.35,34972.21,33882.54,79272.97,37958.43,56611.95,31465.7,34063.4595,"GTP diphosphokinase"
"1.1.1.1",27876.03,13257.54,21735.37,20017.81,42337.12,100401.8,9691.25,3670.2,22488.71,16073.41,19248.06,67180.01,52038.46,6941.66,36419.53,19083.96,87320.39,15054.89,47866.61,50618.95,33966.088,"Alcohol dehydrogenase"
"5.1.3.2",53784.72,17159.8,14242.58,35976.98,47415.83,47820.3,27782.5,2291.8,65096.09,25544.44,28987.71,47257.37,30237.63,11737.45,41951.05,35893.1,60892.94,11328.85,34415.86,37050.7,33843.385,"UDP-glucose 4-epimerase"
"3.6.3.17",39815.99,11146.17,16554.47,40176.9,64584.02,58187.3,13450,6303.4,23273.34,19042.81,29789.9,34951.01,28152.22,9995.11,38539.79,29566.74,30151.28,86267.46,41068.86,20936.1,32097.6435,"Transferred entry 7.5.2.8"
"4.1.3.27",53405.49,13107.54,24285.29,34225.54,31042.03,67192.6,28582.5,4249,61579.74,24339.3,26155.44,29915.5,17304.27,11795.7,36170.25,40394.04,58141.2,9814.3,44138.96,13104.7,31447.1695,"Anthranilate synthase"
"3.2.1.21",15421.95,7098.3,4691.22,8883.5,74215.25,146164.8,13340,2500.8,141725.15,9152.57,8698.57,50656.77,43500.36,6814.13,21639.9,6952.32,11586.17,3684.56,20995.35,28512.5,31311.7085,"Beta-glucosidase"
"3.1.11.5",39546.93,12670.51,20364.16,30895.07,33175.62,30614.8,27225.25,1356.4,32354.52,20154.22,28744.1,30442.85,24096.5,9286.67,35647.75,44738.95,100074.65,35362.57,43510.91,22373.85,31131.814,"Exodeoxyribonuclease V"
"5.1.1.1",39221.07,13002.57,16336.03,34867.27,36107.38,42555.3,18241.75,1923.8,37760.37,20463.35,29069.17,36357.94,22095.76,9096.62,39466.07,30882.92,59291.73,60789.08,39158.5,33665.35,31017.6015,"Alanine racemase"
"2.7.1.196",28905.79,16777.05,10096.59,26830,21229.32,108297.3,10056,1075.4,25996.44,16715.02,25441.91,63622.72,44243.69,6734.6,35369.59,15184.04,14883.79,59311.82,24444.86,63858,30953.6965,"phosphotransferase"
"2.7.1.205",28905.79,16777.05,10096.59,26830,21229.32,108297.3,10056,1075.4,25996.44,16715.02,25441.91,63622.72,44243.69,6734.6,35369.59,15184.04,14883.79,59311.82,24444.86,63858,30953.6965,"Protein-N(pi)-phosphohistidine--D-cellobiose phosphotransferase"
"1.3.5.1",25735.74,10555.82,14976.52,21963.64,14656.75,44284.2,24196.5,62788.4,47296.22,15039.97,23981.38,30394.25,13935.13,6509.34,30493.27,44383.96,99117.15,33160.14,35310.87,19585.5,30918.2375,"Succinate dehydrogenase (quinone)"
"3.2.1.52",38203.11,10713.41,16477.85,29865.4,29819.9,111382.5,19300.75,1524.4,45793.62,18781.13,23165.51,40139.96,20472,11516.04,36742.9,27671.59,40796.46,30771.84,25349.26,36368.75,30742.819,"Beta-N-acetylhexosaminidase"
"3.1.4.46",39530.14,15719.4,19607.53,27826.9,38808.21,46859.1,14133.75,2215.2,36529.79,20268.99,25386.73,44293.65,32989.21,8901.29,38992.29,33314.22,61636.07,11069.58,57055.14,38544.35,30684.077,"Glycerophosphodiester phosphodiesterase"
"3.5.1.88",27659.39,11182.35,15443.04,24321.37,49444.67,43820.5,15228.75,32469.8,53215.54,15771.93,21211.78,40588.48,34242.25,6322.64,31015.45,26024.3,49598.68,36189.05,40038.68,31082.45,30243.555,"Peptide deformylase"
"1.8.1.4",13538.21,8949.79,11733.73,18418.01,9803.63,40542,14903.75,62628.8,38070.17,10683.53,20101.76,47345.22,20615,3702.14,33092.85,27845.51,86825.95,61040.35,38831.19,35616.35,30214.397,"Dihydrolipoyl dehydrogenase"
"4.1.2.13",38933.31,12602.24,22508.14,31544.34,37200.97,44609.7,15273.75,32618.8,50634.38,19819.19,24030.71,38427.25,24103.4,9252.33,37963.38,23813.41,32648.93,34804.42,36293.81,33710.35,30039.6405,"Fructose-bisphosphate aldolase"
"1.20.4.1",39485.17,11772.05,16197.69,31857,34063.76,31067.8,19399.5,1191.4,48583.26,19995.57,26648.46,34202.33,35302.19,9272.1,36587.11,31815.66,79006.2,34769.77,36341.05,21971.6,29976.4835,"Arsenate reductase (glutaredoxin)"
"4.2.1.2",27890.94,7392.67,20125.43,27742.04,42061.11,14325.2,19783.5,31297,51654.67,14959.17,26762.28,18972.15,17267.84,6890.58,29677.01,37705.15,90170.52,62700.82,41438.45,7194.7,29800.5615,"Fumarate hydratase"
"3.6.1.66",15930.75,8501.39,12095.11,24411.47,50129.95,25729.8,11095.75,1985.8,62886.8,10937.44,22906.93,42529.57,36890.47,3870.16,30098.29,23408.64,53521.97,88210.02,41146.8,28233.95,29726.053,"XTP/dITP diphosphatase"
"6.3.5.3",14324.78,10703.73,10845.77,14262.44,28830.01,54936,10394.75,62735.2,37111.57,10390.83,15939.47,51824.6,37615.23,3513.67,28067.88,20931.42,54195.14,34618.46,43476.4,40274.35,29249.585,"Phosphoribosylformylglycinamidine synthase"
"3.1.21.3",5582.91,3125,7591.22,9238.34,66325.97,13193.6,29796.25,2686,85052.65,6243.17,11076.25,39767.35,45476.18,713.24,22087.84,20326.47,98725.67,61045.82,39313.2,17028.95,29219.804,"Type I site-specific deoxyribonuclease"
"3.6.3.3",14166.42,10126.95,11634.6,18177.77,42962.99,65238.4,10283.75,632.2,42291.67,10718.3,20474.94,47390.17,34898.73,3571.19,29464.1,20404.18,48554.33,63243.34,44410.69,40134.35,28938.9535,"Transferred entry 7.2.2.21"
"3.6.3.5",14166.42,10126.95,11634.6,18177.77,42962.99,65238.4,10283.75,632.2,42291.67,10718.3,20474.94,47390.17,34898.73,3571.19,29464.1,20404.18,48554.33,63243.34,44410.69,40134.35,28938.9535,"Transferred entry 7.2.2.12"
"1.1.5.3",51541.57,14336.89,24639.84,40011.61,19907.77,32791.2,21383,2473.4,17753.08,23961.39,31599.08,25865.46,12611.64,12115.5,44006.82,39832.53,53872.17,36753.86,34694.43,24113.6,28213.242,"Glycerol-3-phosphate dehydrogenase"
"3.6.1.55",39395.62,14392.61,18425.5,26815.44,38790.06,47358,22669.25,2558.4,27840.52,19506.57,21347.79,40020.06,24825.57,8851.76,33168.14,36520.37,60213.12,7135.41,50492.23,22235.05,28128.0735,"8-oxo-dGTP diphosphatase"
"6.3.2.13",15296.03,8054.85,9868.1,19233.37,44893.06,37573.8,10212.75,61148.8,36314.22,10263.43,18025.18,38279.59,35423.33,3580.35,25713.82,18836.23,49338.05,58564.3,30489.46,27965.95,27953.7335,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
"3.4.21.92",15486.87,8761.37,11628.05,23443.67,39867.38,23218,10143.75,32257.8,41469.29,10393.53,22220.89,34645.56,25403.88,3833.32,27965.29,20171.28,51337.01,86751.72,31054.35,27940.55,27399.678,"Endopeptidase Clp"
"4.2.1.59",26739.95,9582.34,14103.4,22317.17,27929.19,40219,19538.5,31485.4,47099.66,14395.89,20983.03,28163.84,25157.43,6217.66,25769.15,30739.36,68870.38,32832.48,33829.88,19267.1,27262.0405,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase"
"2.5.1.18",62607.95,13740.5,28676.02,42106,9472.03,22105.1,21774.5,34064,5958.49,28591.5,28753.37,16371.3,1546.13,20051.58,42390.08,40153.81,76718.51,4353.81,29261.25,15043,27186.9465,"Glutathione transferase"
"4.3.3.7",27433.64,8917.22,10984.82,23429.77,32441.47,53980.5,15492.75,32681.4,49042.69,14402.03,21192.13,27015.17,19784.52,6469.93,27547.2,29944.48,60018.05,33834.25,29677.99,18956.85,27162.343,"4-hydroxy-tetrahydrodipicolinate synthase"
"2.4.2.9",15217.05,8468.85,11666.07,19297.04,43304.81,39784.8,10163.5,1953.8,40221.12,10249.27,19451.52,39970.05,36735.46,3669.66,27016.03,20731.37,64721.4,61961.85,38398.03,28240.2,27061.094,"Uracil phosphoribosyltransferase"
"2.5.1.7",15317.42,8214.85,11172.03,19211.97,42074.38,37625.8,10143.75,31500.8,39441.86,10197.61,19064.46,37480.17,32646.15,3756.99,26037.41,20519.3,50780.52,61507.85,35967.31,28027.95,27034.429,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"3.5.2.3",26588.01,8653.67,8996.84,26659.67,29374.67,40551.2,14169.5,32222.4,35904.15,14393.04,22880.93,26341.55,21390.11,6422.69,29808.75,24046.86,60804.88,60786.55,31422.25,18955.1,27018.641,"Dihydroorotase"
"2.3.1.234",14388.26,8198.12,10855.29,18214.77,44599.88,38360,10146.75,32347.8,38740.1,10075.19,18635.23,37714.02,32478.84,3579.83,25937.32,20180.33,50867.29,61101.76,34810.69,28027.35,26962.941,"N(6)-L-threonylcarbamoyladenine synthase"
"1.2.1.12",26808.99,8748.62,15587.9,22498.24,29441.18,43510,14303.75,31351.4,34289.71,14022.32,20343.06,30027.68,21009.38,6609.63,28383.28,25371.3,71360.24,36214.61,40348.43,18782.45,26950.6085,"Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
"2.7.1.191",27334.78,15307.33,15371.36,19482.34,27636.23,109153.2,9611,1965,13809.4,15074.79,16077.54,61837.46,44187.39,8822.15,31922.75,14059.34,13494.33,2660.7,23777.77,66440,26901.243,"Protein-N(pi)-phosphohistidine--D-mannose phosphotransferase"
"1.17.1.9",51116.88,11537.61,24199.9,44924.98,9162.28,15643.5,21545.75,878,17665.67,23924.24,32466.46,13157.35,2961.35,11965.73,39748.17,36314.34,76665.82,61400.66,28131.84,12031.85,26772.119,"Formate dehydrogenase"
"2.1.1.63",26421.66,8745.67,17671.91,22368.77,33477.85,69294.2,16057.75,2965.4,62971.12,13888.72,18804.74,28883.95,22696.61,6232.34,28815.01,24274.58,49054.61,33051.12,27172.48,18955.85,26590.217,"Methylated-DNA--[protein]-cysteine S-methyltransferase"
"6.3.2.4",26582.04,8957.67,11791.48,26656.27,30287.07,26124,15065.75,31265.4,52345.96,14201.72,22895.53,25655.09,19918.46,6408.33,31125.65,24509.69,45403.19,60441.48,29129.39,18860.85,26381.251,"D-alanine--D-alanine ligase"
"1.2.4.1",13104.93,9565.6,9050.63,17219.9,10379.83,40117,9333.75,62508.8,19243.13,9391.76,16302.88,45282.19,26260.55,3514.17,30226.9,21461.41,56605.05,56549.1,31311.02,35339.75,26138.4175,"Pyruvate dehydrogenase (acetyl-transferring)"
"4.3.1.17",27338.24,9816.35,14834.08,27460.07,44763.26,40215.8,9848,1927.8,35851.3,13964.44,21914.65,39236.64,30219.16,6312.41,31317.89,16590.18,22359.99,60341.41,34516.13,30261.2,25954.45,"L-serine ammonia-lyase"
"3.6.1.1",15886.59,8135.17,10617.95,20271.47,37225.24,23683.8,10207.75,31516.8,38762.36,9897.44,18985.92,37130.02,25352.89,3661.99,27407.12,20803.46,53830.9,60937.25,36532.15,28007.95,25942.711,"Inorganic diphosphatase"
"4.4.1.8",13855.21,9337.92,21879.8,14030.4,37588.45,66537.6,6160.75,31437.2,36040.95,9422.55,16180.49,39092.58,32388.24,3721.46,23907.11,18337.98,37700.4,35740.31,31362.55,32631.95,25867.695,"Cystathionine beta-lyase"
"3.2.1.23",4925.19,3098.42,6186.93,758.8,67791.27,127020.3,8330,454.4,173065.69,3154.87,2992.23,27135.16,40075.84,286.59,12299.85,1413.02,3733.88,3277.54,16657.94,13492.6,25807.526,"Beta-galactosidase"
"2.4.2.1",28099.66,10093.74,15669.78,28350.67,27278.67,39588.6,9830.75,633.8,39744.63,14640.33,22603.34,35752.97,22424.79,6588.05,31724.89,17852.92,41622.48,61703.79,29595.68,30629.85,25721.4695,"Purine-nucleoside phosphorylase"
"5.4.99.28",26546.21,11564.57,12728.34,22185.1,14219.46,41763.6,14487.75,1708.2,34680.06,15016.16,20512.84,46266.98,24177.98,3547.33,32889.47,24940.52,57609.15,32576.67,33436.5,42972.85,25691.487,"tRNA pseudouridine(32) synthase"
"5.4.99.29",26546.21,11564.57,12728.34,22185.1,14219.46,41763.6,14487.75,1708.2,34680.06,15016.16,20512.84,46266.98,24177.98,3547.33,32889.47,24940.52,57609.15,32576.67,33436.5,42972.85,25691.487,"23S rRNA pseudouridine(746) synthase"
"2.4.2.8",15169.05,8168.85,11567.66,19291.07,43057.38,37099.6,10060.75,945.8,39878.86,9463.61,19415.53,39883.23,38989.6,3669.66,26436.47,20316.98,48505.13,62111.47,30703.97,27981.95,25635.831,"Hypoxanthine phosphoribosyltransferase"
"2.7.1.2",39675.67,11896.95,14589.74,31581.77,39418.53,27088.5,20414,1667.4,62033.97,19462.01,23611.55,29039.11,23697.89,9344.71,31049.25,28128.04,24100.12,31638.39,21580.2,21494.1,25575.595,"Glucokinase"
"1.15.1.1",38451.29,11403.6,16251.53,31538.37,9610.93,31929.7,18209.75,32445.4,33341.99,18886.04,24250.39,27075.13,10403.55,9248.03,32792.82,31168.22,45953.09,34498.87,31493.8,21666.35,25530.9425,"Superoxide dismutase"
"3.4.21.102",14220.56,7788.12,10274.41,18428.27,19100.61,25366,16491.5,3769.8,69533.2,10350.85,20231.33,33785.5,15248.36,3537.16,26663.39,25654.93,71302.99,59416.07,29968.66,28633.6,25488.2655,"C-terminal processing peptidase"
"2.7.1.107",15042.69,8167.52,7457.09,19225.47,23158.88,35753.6,10146.75,30408.8,39574.06,9881.61,19179.53,36048.31,29422.5,3653.99,26551.31,19809.91,51362.52,62041.85,33063.89,28030.95,25399.0615,"Diacylglycerol kinase (ATP)"
"2.7.8.5",27299.52,9385.74,14343.21,26536.57,26874,38935.5,17388.5,31373.4,17092.58,14223.14,21860.68,23631.96,19849.67,6333.83,28196.38,27526.81,47024.12,58410.24,28171.61,18902.7,25168.008,"CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase"
"1.8.1.9",16379.54,6575.78,8591.67,16018.94,51031.64,25438.2,10053.75,62391.4,35932.85,9991.79,16375.49,28908.46,29622.54,3773.69,20989.76,19529.8,51583.75,38213.15,34739.2,15966.95,25105.4175,"Thioredoxin-disulfide reductase"
"4.2.1.33",28280.72,11020.22,13492.4,19179.14,41332.95,40534,19746.5,3732.8,45121.14,15704.24,18578.58,23452.42,17872.42,6133.06,23962,32453.62,76906.92,6528.64,40355.46,16631.5,25050.9365,"3-isopropylmalate dehydratase"
"4.2.1.35",28280.72,11020.22,13492.4,19179.14,41332.95,40534,19746.5,3732.8,45121.14,15704.24,18578.58,23452.42,17872.42,6133.06,23962,32453.62,76906.92,6528.64,40355.46,16631.5,25050.9365,"(R)-2-methylmalate dehydratase"
"2.5.1.47",27796.8,8507.62,18151.99,24266.47,31698.99,42582.7,14293.5,2727.4,33207.32,14349.13,19748.87,28062.42,22747.9,6481.06,27902.45,26088.87,61841.34,34410.86,37153.16,18971.7,25049.5275,"Cysteine synthase"
