"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"ARO-PWY",16736.9935193027,7094.69742803695,9885.82664895889,16101.163473382,20623.2962122682,23275.2840782142,11679.2619650683,1834.56756706042,29491.2357117849,10011.6510059083,15552.3626796523,24711.1538682152,14061.8619287024,3982.96324071479,20719.5275775068,19995.2422598645,44862.5796334912,32617.6675043014,24131.6209984151,18017.2108525514,18269.30840767,44862.5796334912,18143.2596301107,23,115,"chorismate biosynthesis I","chorismate biosynthesis i","Biosynthesis"
"SER-GLYSYN-PWY",18468.3946899511,6532.47411584309,10145.7605503445,17032.4014600052,21221.91398757,24596.986012915,10618.5785492517,2270.51656453635,29113.7771691838,10239.1333849297,15355.2010998558,15553.2757371683,9642.13446372447,4310.60823161255,22126.9891159868,18749.5167369273,54398.1400751968,32186.1130874597,27896.3987585023,9879.83310658435,18016.9073448774,54398.1400751968,17524.6544024413,23,115,"superpathway of L-serine and glycine biosynthesis I","superpathway of l-serine and glycine biosynthesis i","Biosynthesis"
"COA-PWY-1",14240.5171969263,5884.95238907314,9055.53864066049,14767.837890674,26233.9633970076,22007.2446940693,9913.11864626752,2585.11275684761,30037.4799041134,8431.75003222936,14176.1025262439,22598.5690573412,19026.5594438343,3367.55392647204,19464.3476179476,17576.5152114607,43328.0894288182,35457.3732751454,24283.8379971248,15753.9134452462,17909.5188738751,43328.0894288182,17743.0170426679,23,115,"superpathway of coenzyme A biosynthesis III (mammals)","superpathway of coenzyme a biosynthesis iii (mammals)","Biosynthesis"
"PWY-6163",15503.7073124149,7126.026984821,9479.06961639218,15100.0394839143,19829.4481908511,22819.7416372821,11348.955324611,1877.25844606645,29938.4892476053,9507.37587481995,14932.6040823601,24841.0747854607,14309.7368981395,3716.7380510994,20026.4713019726,19313.7004954467,43744.6832481915,32635.8239788625,23462.491177387,17978.6920981784,17874.6064117938,43744.6832481915,17926.6492549861,23,115,"chorismate biosynthesis from 3-dehydroquinate","chorismate biosynthesis from 3-dehydroquinate","Biosynthesis"
"PWY-7851",14291.7852365275,5867.00829281714,9039.89215164904,14967.9245568215,25035.1092963467,21873.4974283951,9916.71732800565,2985.99730013058,30224.328556521,8433.80253540814,14309.3026670005,22370.8823217947,18714.4883860811,3372.47814912412,19163.8144804427,17611.7205964812,43279.8345007157,36304.1783636761,23369.7688711262,15758.8119102917,17844.5671464678,43279.8345007157,17728.1438714745,23,115,"coenzyme A biosynthesis II (eukaryotic)","coenzyme a biosynthesis ii (eukaryotic)","Biosynthesis"
"PWY-6700",14063.7798787921,5920.50447669396,7264.56682376975,13982.8392480148,18123.9466436216,21967.3534386769,11029.4730818114,2140.07077103483,32530.0626843287,8635.43194739965,13891.4152296723,24199.1294343666,14494.0814923298,3295.09611237712,19436.9636205262,18316.0931573269,43345.6900649984,32308.0472164406,23747.4168260383,17753.1370843457,17322.2549616283,43345.6900649984,17537.696022987,23,115,"queuosine biosynthesis I (de novo)","queuosine biosynthesis i (de novo)","Biosynthesis"
"PWY-841",16795.8093054944,6298.69781050546,9531.80351529271,14230.9574486869,18659.8970026869,17391.4557834412,11208.7183575766,33688.0580744356,28024.4744941898,9310.61649331798,13100.1346110265,19686.1476290121,16793.0196853423,3903.93997591762,18999.4625934534,18807.1185758185,44085.3154814083,9046.60945301206,24003.7729455779,10354.6279734221,17196.0318604809,44085.3154814083,16995.9205829876,23,115,"superpathway of purine nucleotides de novo biosynthesis I","superpathway of purine nucleotides de novo biosynthesis i","Biosynthesis"
"PWY-3001",19003.4455045104,7100.34386390435,9447.52284197071,16155.2579614412,25607.8230952102,25171.391162275,10201.3169019712,2574.58003541812,30591.1865933254,10361.1049772694,13943.8454203503,20300.0268589429,13967.567345594,4279.04599529088,19922.3719830861,17230.7739446027,38234.4664316908,13200.4045677062,25754.9306334889,14492.0865377241,16876.9746327886,38234.4664316908,16516.1162971149,23,115,"superpathway of L-isoleucine biosynthesis I","superpathway of l-isoleucine biosynthesis i","Biosynthesis"
"UDPNAGSYN-PWY",14100.8675444914,6056.951931696,6329.06937090851,13918.0491174829,24524.4668797812,22730.9658630284,10554.6404442999,4042.46333251515,15924.3734665127,8377.33754628999,13605.9169933494,21798.99529286,19058.9816088286,3353.68008782225,17939.8872618817,18273.2938159827,44861.0085645951,31922.1980363502,22187.8553137919,15720.657365133,16764.08299188,44861.0085645951,16344.2282291964,23,115,"UDP-N-acetyl-D-glucosamine biosynthesis I","udp-n-acetyl-d-glucosamine biosynthesis i","Biosynthesis"
"PWY-7234",16155.4540441967,6802.53296101057,8880.79899550473,12699.842007189,16228.6708742197,23197.931895793,10642.7178897143,31254.2320853311,14541.8765333258,9441.04177032634,12752.48820277,24080.5705012776,17254.680555786,3789.07252007366,19373.8498252232,18156.4156672803,40999.7053907818,6176.5246471294,23215.7455595975,18029.6302698218,16683.6891098176,40999.7053907818,16456.1799920187,23,115,"inosine-5'-phosphate biosynthesis III","inosine-5'-phosphate biosynthesis iii","Biosynthesis"
"VALSYN-PWY",18133.9498365849,6847.42865017581,8448.5408687091,13756.0135298764,26739.1919511938,26402.8689567887,12290.5705755051,2524.50674493555,28073.0546571593,10266.3583612108,12499.6286799696,18342.7724336061,14026.1715757099,3964.3538402372,17607.1047700704,19949.8524768953,47142.4414328637,6139.25881793573,27038.168809718,12120.5740666907,16615.6405517918,47142.4414328637,15320.9060637508,23,115,"L-valine biosynthesis","l-valine biosynthesis","Biosynthesis"
"THISYNARA-PWY",15183.5658892673,4870.48038958158,9150.13717554991,14398.6189044662,26584.4357339677,15631.2079337883,7253.81794555847,2020.08487211472,33089.4648457923,8106.49705089436,13296.0316975017,22738.7313648454,17980.7136827605,3554.23805082436,16692.7418334254,14475.5975327456,36199.5143056074,32626.5243246363,22773.2188709847,15031.5893045148,16582.8605854413,36199.5143056074,15407.3869115278,23,115,"superpathway of thiamine diphosphate biosynthesis III (eukaryotes)","superpathway of thiamine diphosphate biosynthesis iii (eukaryotes)","Biosynthesis"
"ILEUSYN-PWY",18103.1467411832,6824.47082077658,8448.5408687091,13756.0135298764,26191.8615046666,26377.4273492782,12277.3044134387,2259.07114634658,28073.0546571593,10146.0431931788,12499.6286799696,18342.7724336061,13129.0067586241,3964.3538402372,17607.1047700704,19745.5164026341,43958.4846165272,6881.31811476656,26410.0058047572,12120.5740666907,16355.7849856248,43958.4846165272,15055.8992577506,23,115,"L-isoleucine biosynthesis I (from threonine)","l-isoleucine biosynthesis i (from threonine)","Biosynthesis"
"PWY-7228",16076.7194632812,5683.47665978649,9045.59144009784,13445.0489658379,15933.7180356624,14099.3745234297,10947.6521712992,34161.6791529373,27293.3966041543,8671.49467958123,12154.8766003587,17109.7252656101,16345.0942615907,3748.14722682462,18066.260036929,18588.225216903,45680.8825538325,7507.16872947353,24639.9570464781,7813.51262487311,16350.600062947,45680.8825538325,16005.2187494718,23,115,"superpathway of guanosine nucleotides de novo biosynthesis I","superpathway of guanosine nucleotides de novo biosynthesis i","Biosynthesis"
"PWY-6628",16772.2425595703,6843.5678620872,9386.0818572905,14584.2765001637,20697.4579980718,20218.1354688894,11475.4518375666,1791.32868109772,23977.3337159586,9779.65365429504,13933.2999329208,24401.0536233982,13322.9791603057,3907.57173999162,20045.8120506795,19582.536728249,43008.2395960256,11415.4587279864,23894.0418447292,17611.0128580416,16332.3768198659,43008.2395960256,16552.3096897181,23,115,"superpathway of L-phenylalanine biosynthesis","superpathway of l-phenylalanine biosynthesis","Biosynthesis"
"PWY0-1061",22302.9941372948,8150.99136404803,8648.4244524513,19785.6040253647,13972.4722406996,28878.056509601,13319.2814847799,1027.48595770651,27377.2560169085,11946.9199089568,14557.9396741071,25133.6149244338,12491.401325921,4988.40080482029,22656.7919621113,19236.8331928628,27538.4986194454,2741.91058371435,20868.6940043792,21017.6264473027,16332.0598818455,28878.056509601,17784.4465373541,23,115,"superpathway of L-alanine biosynthesis","superpathway of l-alanine biosynthesis","Biosynthesis"
"PWY-6125",15891.3885332754,5596.06516519613,8928.7118662208,13489.5503030038,16958.0035283242,14574.3786438283,10754.6284405834,33667.7733983085,27454.0977338161,8454.764102154,12147.6370205899,17291.2569780591,16478.7467305936,3660.1382608803,17824.6568574692,18118.5187698975,43711.1533992253,8433.63888510005,23312.3361347472,8409.18149315169,16257.8313122212,43711.1533992253,16074.6099227483,23,115,"superpathway of guanosine nucleotides de novo biosynthesis II","superpathway of guanosine nucleotides de novo biosynthesis ii","Biosynthesis"
"FOLSYN-PWY",15394.3118314233,6105.12991999739,9060.10858771892,12655.8834299804,18363.4669431372,13485.921213294,10130.9448284345,10185.3399666987,28243.4011608732,8711.50937936902,13492.4393084378,21137.3904299992,15005.5838616783,3636.60431507622,18622.8423367831,18347.1130488573,48390.6577202552,14221.0966195834,25333.1408286314,13305.7172809909,16191.430150561,48390.6577202552,14613.3402406308,23,115,"superpathway of tetrahydrofolate biosynthesis and salvage","superpathway of tetrahydrofolate biosynthesis and salvage","Biosynthesis"
"DAPLYSINESYN-PWY",16944.0346002464,6171.28263876038,7723.83590156586,14217.4843228624,25590.6746576815,24065.1850632468,7940.79113731297,33134.0594941164,24928.3119978403,9174.02990848692,12240.5723844373,17752.1286513066,17284.1993846947,3973.57809378618,16153.7811126727,12853.8550141227,29427.2525099811,8754.53652748705,23207.3984513965,9359.58321652209,16044.8287534263,33134.0594941164,16099.3049330495,23,115,"L-lysine biosynthesis I","l-lysine biosynthesis i","Biosynthesis"
"PWY-5097",18095.9226796475,5687.25932697701,7916.89539457216,14885.1105377584,29071.1043142689,24845.9011124161,8771.34531072682,4953.02400632626,35293.8345596452,9426.22369756097,12141.5070238008,15017.3777162899,16768.896032043,4173.67141551482,16654.1562213144,13333.2710314243,33868.7227981607,10554.3121414926,23473.6142511112,8063.54744237586,15649.7848506714,35293.8345596452,14951.2441270242,23,115,"L-lysine biosynthesis VI","l-lysine biosynthesis vi","Biosynthesis"
"PWY-6630",16690.1453467463,6675.34246681977,9023.7704967189,14544.291084735,20300.8237867051,20116.2765038118,9640.48516729202,1766.66366525914,23932.8598514362,9597.75088937174,12750.232313601,23101.8977028442,12665.0004011588,3881.75514508586,19201.1603561783,16225.3462291312,36822.863964761,8812.45724029944,23381.6101515741,17532.415990694,15333.1574377112,36822.863964761,15779.2518334212,23,115,"superpathway of L-tyrosine biosynthesis","superpathway of l-tyrosine biosynthesis","Biosynthesis"
"PWY-724",17614.1412133002,5606.83597388918,7901.32165190156,15167.1662506816,26371.0937768123,24161.7005728925,8111.87852197675,2782.40300996623,30328.7703257279,9282.30720588071,12442.7162653636,16089.4671699643,15103.3577749136,4056.15214621999,17334.4494622145,13775.8679680607,34590.0607944368,13073.1758853669,23369.6267633657,9391.68519898104,15327.7088965958,34590.0607944368,15135.2620127976,23,115,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II","superpathway of l-lysine, l-threonine and l-methionine biosynthesis ii","Biosynthesis"
"PWY-6612",14218.8354373739,5756.68504582888,8800.37002686105,11167.3496636182,16323.246362413,11045.2338346431,9498.29248655277,7618.6944562494,27501.758776656,8038.24138152908,12554.936153445,19976.5907327846,14035.1244303863,3362.09230346072,16871.0218157817,17634.4547595214,47724.6128993774,11092.1790519753,24722.619472733,11949.011355213,14994.5675223202,47724.6128993774,13295.0302919157,23,115,"superpathway of tetrahydrofolate biosynthesis","superpathway of tetrahydrofolate biosynthesis","Biosynthesis"
"PWY-5103",17107.7238882964,6495.97329452734,8247.52398273123,12636.3461346941,22416.1789388427,24960.0708793007,11690.9428618731,2071.27310311818,26545.68375504,9585.95389335388,11512.769949952,16005.7605147684,11512.9357728198,3738.74008696957,15478.8901261277,18713.4028028011,39733.4547690794,4559.33541635978,24718.3826800062,11104.4211334007,14941.7881992031,39733.4547690794,13789.0671669486,23,115,"L-isoleucine biosynthesis III","l-isoleucine biosynthesis iii","Biosynthesis"
"DENOVOPURINE2-PWY",16077.3277944921,6134.36793436303,9261.25686601849,13758.5895281518,18134.3188872138,17394.702101061,9715.30594540281,3093.79403741139,22986.9777481082,8935.80730317166,12818.6552551601,19657.8267598909,16838.1957878673,3735.56433654491,18703.9243184071,16288.5235670309,40218.9342905329,9022.96716072402,23406.988970958,10747.6215883079,14846.5825090409,40218.9342905329,15461.9551517665,23,115,"superpathway of purine nucleotides de novo biosynthesis II","superpathway of purine nucleotides de novo biosynthesis ii","Biosynthesis"
"PWY-7229",17823.0091023429,6362.76080448001,9588.05879105932,13952.5649052151,20230.6430680958,17711.4851842063,8720.07408310187,1283.67928685639,26696.048294057,9349.82335597817,12723.9289377044,19385.7046551488,17416.5308588482,3996.66301962375,18052.581287053,13883.5295357628,35683.899187777,7504.88486577855,20975.9962637423,10942.3677285068,14614.2116607669,35683.899187777,14283.388282991,23,115,"superpathway of adenosine nucleotides de novo biosynthesis I","superpathway of adenosine nucleotides de novo biosynthesis i","Biosynthesis"
