"ko","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","description"
"ko:K00059",67604.59,25218.53,27445.26,58597.27,66267.51,58296.2,37515,36425.2,80987.98,36363.41,51516.78,69815.87,50445.09,18791.22,73966.25,74223.1,175156.28,99024.63,83208.2,46162.7,61851.5535,"3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"ko:K03406",59842.84,12289.18,40479.43,77152.1,14152.73,43488,17048,6206,71863.68,29853.77,55888.59,40554.53,10432.3,14397.64,72067.43,53089.04,194064.88,233945.86,113563.57,19877.4,59012.8485,"methyl-accepting chemotaxis protein"
"ko:K02015",67923.89,21238.55,46796.5,62581.41,41975.2,108156,32306.5,4698.8,83230.44,34147.87,51711.51,64776.99,39720.11,16298.68,67046.46,63614.3,105205.44,108032.36,84306.43,40621.8,57219.462,"iron complex transport system permease protein"
"ko:K02030",18633.93,17074.54,20310.11,29142.25,103929.1,113840.2,11098.75,5324.4,45025.2,15242.54,32236.31,95169.11,87830.3,4844.59,51049.63,28459.52,125942.01,121706.8,60699.58,70130.95,52884.491,"polar amino acid transport system substrate-binding protein"
"ko:K02013",66129.3,20549.34,47685.69,59458.41,35981.73,88501,32253.25,3249.8,75993.4,33294.38,49435.44,52964.93,27938.13,15912.11,62581.71,61641.6,100221.59,102532.71,73163.42,40749.05,52511.8495,"iron complex transport system ATP-binding protein [EC:7.2.2.-]"
"ko:K02035",27746,16076.33,25714.75,40967.17,90355.88,115733.1,9951.5,3512.2,47054.81,18198.33,37182.22,62731.26,47551.46,7804.87,58451.26,39704.91,119939.87,148633.05,59992.94,43338.3,51032.0105,"peptide/nickel transport system substrate-binding protein"
"ko:K03704",64221.32,21644.75,41233.97,51815.7,32122.67,100475.8,26281.75,33188.2,33765.98,32135.04,43422.31,65502.79,41695.39,12946.81,61821.83,48923.65,86440.74,73015.96,54587,52769.55,48900.5605,"cold shock protein"
"ko:K07090",64105.43,17348.94,40370.44,51649.2,41123.49,42027.9,26566.75,4100.4,45007.13,31676.18,40391.41,41361.8,23572.91,14908.91,55152.73,48224.41,117622.23,67746.29,59089.86,28571.35,43030.888,"uncharacterized protein"
"ko:K02028",17287.77,15993.21,16632.42,15504.71,77057,125743,11079.5,3688.4,27728.51,13117.92,22502.87,87736.44,71183.48,4403.26,37209.34,27081.16,92612.13,39013.25,44799.66,69247.2,40981.0615,"polar amino acid transport system ATP-binding protein [EC:7.4.2.1]"
"ko:K06180",15835.92,12420.62,13772.66,19551.64,70179.38,54175.4,12531.75,31990.6,83145.92,12684.04,22931.97,66662.02,56652.79,3802.49,37059.77,24174.46,59880.86,66852.21,60040.19,52829.95,38858.732,"23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]"
"ko:K15580",39253.03,18146.23,22380.84,35649.9,50151.19,101191.2,13356,1286.6,28594.04,21209.26,35225.7,58630.14,44163.62,9472.35,54713.18,32331.31,43657.66,68777.01,48581.23,49990.9,38838.0695,"oligopeptide transport system substrate-binding protein"
"ko:K02014",62743.66,14015.16,28213.7,42529.44,17689.99,36867,37666.75,10559,123771.66,30398.5,29397.6,31119.2,7479.06,14665.58,47883.59,42965.3,128413.14,5717.3,39575.5,17220.75,38444.594,"iron complex outermembrane recepter protein"
"ko:K02031",63843.71,18576.36,26435.29,52391.44,39745.23,66809,21740,2578.4,23794.35,29803.21,37888.44,32382.61,18284.01,15078.65,57720.71,44200.24,71500.28,63943.29,46221.62,26986.1,37996.147,"peptide/nickel transport system ATP-binding protein"
"ko:K07347",124745.74,26289,44208.62,83662,17662.9,34786.7,41202,334,5875.04,52713,53345.3,15963.83,917.7,27910.87,72336.75,70620,16405,3512,36368,28909,37888.3725,"outer membrane usher protein"
"ko:K01448",31846.34,10544.57,24925.36,41110.07,35616.44,42467,14113.75,1789.4,65750.59,16880.53,39333.18,32198.23,20910.99,7821.6,40457.48,33574.49,56436.24,155743.23,58106.72,19092.25,37435.923,"N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"
"ko:K03657",30999,12102.87,12457.28,30104.08,57817.07,72533.8,14374.5,31694.8,46440.66,16366.36,27813.95,45731.67,39732.79,6863.17,37588.07,27505.53,72655.5,68736.9,61006.79,31227.5,37187.6145,"DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]"
"ko:K02034",39738.91,14654.56,18928.82,40692.37,50558.4,74764.8,13284,2115.8,29691.97,20481.03,31286.36,42928.57,28026.1,9372.9,52100.74,29994.47,67252.69,92201.5,48033.84,33249.3,36967.8565,"peptide/nickel transport system permease protein"
"ko:K16787",15632.67,14221.05,10561.6,23556.3,71555.07,93996.5,5047,1064,36055.57,12482.01,25611.27,72001.99,54163.81,3684.99,41584.42,14934.06,34546.22,93879.46,48649.89,63833.7,36853.079,"energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"
"ko:K16786",15585.67,14206.38,10784,23623.9,65510.74,93982.5,5024,999,36185.57,12166.01,25752.27,72358.09,52538.81,3684.99,42231.62,14983.06,35323.42,94544.77,48569.29,63836.7,36594.5395,"energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]"
"ko:K07088",40955.33,20016.77,12692.23,26825.24,51998.65,42914.5,26965.75,30786,18029.95,23524.23,36651.48,48054.46,37489.55,9112.92,37918.05,53437.28,108773.11,11554.34,45407.41,48222.35,36566.48,"uncharacterized protein"
"ko:K07126",88728.36,20585.14,23229.24,60002.04,19362.15,29162.1,37668.75,4009,25741.69,39466.5,46234.23,18809.66,5382.43,19673.74,56641.9,67073.5,86914.15,8432.3,42630.74,22996.75,36137.2185,"uncharacterized protein"
"ko:K07483",2667.72,1424.84,5351.12,17573.05,11950.75,38648.2,5123,266260,19014.77,2918.48,14518.04,35044.64,13198.35,1694.8,23091.5,11058.89,64598.16,107451.23,42370.29,30152,35705.4915,"transposase"
"ko:K01104",27555.93,15362.81,10507.32,21648.2,72505.86,60109.1,16538.5,3150.6,70814.38,16957.72,21736.44,59631.88,55656.63,6242.93,33852.49,22498.72,52770.95,33853.6,50459.88,48312.7,35008.332,"protein-tyrosine phosphatase [EC:3.1.3.48]"
"ko:K07258",29261.02,9453.68,18689.95,32747.34,70689.99,26879,17780.75,31520.4,28433.02,16165.56,30561.82,39511.77,34124.2,7012.86,35684.55,36032.04,69401.34,91431.49,48014.48,26202.05,34979.8655,"serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
"ko:K02073",27461.65,13017.57,17063.04,22657.47,33464.63,97892.1,18421.75,2335.2,22127.93,15466.81,27176.59,54588.01,34801.5,6659.02,36321.19,43942.55,92633.94,37426.6,41281.74,43135.85,34393.757,"D-methionine transport system substrate-binding protein"
"ko:K06901",54130.82,15894.35,25977.81,43801.27,41813.9,49354.8,22428.75,1815.8,41463.03,25510.44,32741.43,39099.14,33655.26,12054.57,45141.92,38874.28,48467.35,39564.29,43840.7,29272.45,34245.118,"putative MFS transporter, AGZA family, xanthine/uracil permease"
"ko:K07345",112134.66,23413.5,46477.24,75223.5,15671.61,31392.5,37081,149,5018.04,47321.5,46260.37,13724.2,725.63,25228.45,64696.29,63440.5,5303,2496,31868.5,25987.5,33680.6495,"major type 1 subunit fimbrin (pilin)"
"ko:K02072",39629.53,16641.35,14956.48,30722.27,24568.77,86952.4,17828.75,2149.6,22664.95,20818.28,26562,55794.71,32112.26,9070.52,42347.74,32732.88,54817.62,34632.37,47785.02,50525.35,33165.6425,"D-methionine transport system permease protein"
"ko:K02078",27915.28,13158.87,12069.77,27675.77,52788.61,41221.3,23144.75,32076.8,38594.78,16394.71,24120.58,41250.71,36192.06,6626.29,33141.25,29997.72,51939.77,61217.58,36209.51,31102.05,31841.908,"acyl carrier protein"
"ko:K02358",29776.3,9235.07,17085.33,27866.37,29562.57,40374,19025.75,61081.4,37607.17,15157.31,25789.29,27882.84,21560.2,6676.49,32251.43,32791.14,80853.65,63364.67,33866.32,18917.45,31536.2375,"elongation factor Tu"
"ko:K01784",53652.86,17019.8,12977.65,35959.58,40015.86,47004.3,27747.5,2065.8,46197.09,25379.44,27850.96,44522.94,28067.94,11660.45,41163.55,35621.43,47922.4,8864.85,30898.3,37027.7,31081.02,"UDP-glucose 4-epimerase [EC:5.1.3.2]"
"ko:K01126",39530.14,15719.4,19607.53,27826.9,38808.21,46859.1,14133.75,2215.2,36529.79,20268.99,25386.73,44293.65,32989.21,8901.29,38992.29,33314.22,61636.07,11069.58,57055.14,38544.35,30684.077,"glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"
"ko:K04487",15692.01,9257.85,12160.19,20328.57,49588.56,39298,9299.75,62151.8,25816.16,10542.61,21666.46,39005.74,36275.05,3983.66,28011.6,24168.7,65471.88,64165,45557.97,28034.95,30523.8255,"cysteine desulfurase [EC:2.8.1.7]"
"ko:K03091",6517.17,3252.45,12434.12,34351.9,77281.94,17684.8,212,275.4,46262.63,6111.4,31533.93,25053.24,30156.23,1791.3,27337.17,11824.66,29747.76,198690.4,36378.61,12368,30463.2555,"RNA polymerase sporulation-specific sigma factor"
"ko:K01652",52534.98,14106.49,15031.38,37667.14,42724.43,46051.5,27099.5,2276.4,27149.93,25179.43,27664.59,31068.45,26003.38,11752.71,36865.21,43320.2,71639.68,6298.83,38155.94,24802.5,30369.6335,"acetolactate synthase I/II/III large subunit [EC:2.2.1.6]"
"ko:K01462",27659.39,11182.35,15443.04,24321.37,49444.67,43820.5,15228.75,32469.8,53215.54,15771.93,21211.78,40588.48,34242.25,6322.64,31015.45,26024.3,49598.68,36189.05,40038.68,31082.45,30243.555,"peptide deformylase [EC:3.5.1.88]"
"ko:K00382",13538.21,8949.79,11733.73,18418.01,9803.63,40542,14903.75,62628.8,38070.17,10683.53,20101.76,47345.22,20615,3702.14,33092.85,27845.51,86825.95,61040.35,38831.19,35616.35,30214.397,"dihydrolipoamide dehydrogenase [EC:1.8.1.4]"
"ko:K03100",16599.95,10120.25,10965.1,16129.97,41414.02,67173.6,11334.75,31611.2,55468.02,11134.23,17381.98,49118.35,36927.31,3590.35,30179.56,19901.92,50569.16,36955.19,44302.11,40327.95,30060.2485,"signal peptidase I [EC:3.4.21.89]"
"ko:K03111",28052.54,10064.35,12481.26,23649.77,35793.32,58458.5,27341,31877.4,34464.22,15818.06,22797.79,32208.92,29906.85,6354.44,28757.12,37864.66,69046.81,37406.96,37330.97,20011.8,29984.337,"single-strand DNA-binding protein"
"ko:K04763",16337.1,10575.85,15019.23,20248.94,46868.42,52820.6,10275.75,31665.2,41898.27,11307.14,20292.69,44344.32,36414.35,3785.04,27115.01,21336.77,50860.3,62007.84,41613.05,32769.55,29877.771,"integrase/recombinase XerD"
"ko:K01223",19597.31,17916.36,3141.18,9276.5,51598.88,148169.9,6191,1404.2,17375.3,12059.64,13656.5,70191.73,74740.45,6463.91,35565.24,6779.92,15740.13,2317.98,27675.68,55599.5,29773.0655,"6-phospho-beta-glucosidase [EC:3.2.1.86]"
"ko:K02428",15930.75,8501.39,12095.11,24411.47,50129.95,25729.8,11095.75,1985.8,62886.8,10937.44,22906.93,42529.57,36890.47,3870.16,30098.29,23408.64,53521.97,88210.02,41146.8,28233.95,29726.053,"XTP/dITP diphosphohydrolase [EC:3.6.1.66]"
"ko:K01775",39221.07,13002.57,16287.03,34867.27,36107.38,28603.3,18241.75,1923.8,37760.37,20463.35,29069.17,31821.94,22005.76,9096.62,37121.07,30882.92,59183.73,60709.08,39158.5,26273.35,29590.0015,"alanine racemase [EC:5.1.1.1]"
"ko:K03310",29180.1,6733.55,22306.06,31875.3,46078.95,11701,8424,88983,26689.71,13191.2,27215.81,18418.2,13296.3,9445.52,29358.79,22406.15,43619.92,91824.22,43806.82,6231.2,29539.29,"alanine or glycine:cation symporter, AGCS family"
"ko:K06889",2878.53,6589.62,12739.54,10849.2,61624.96,68494.1,7476.5,31160.2,56326.08,5472.26,12500.14,50946.77,48924.92,968.51,25652.42,13289.66,44758.72,59595.38,37500.11,30255.7,29400.166,"uncharacterized protein"
"ko:K02033",13827.26,8267.43,16740.83,27229.17,43146.91,53513,5044,2789.4,27912.47,9255.64,23947.61,27092.12,18941.17,4046.16,36297,23807.95,80646.91,114482.36,35170.9,15348.7,29375.3495,"peptide/nickel transport system permease protein"
"ko:K01952",14324.78,10703.73,10845.77,14262.44,28830.01,54936,10394.75,62735.2,37111.57,10390.83,15939.47,51824.6,37615.23,3513.67,28067.88,20931.42,54195.14,34618.46,43476.4,40274.35,29249.585,"phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
"ko:K03798",15502.07,6353.9,12424.42,27691.87,44596.53,21891,9946.75,31388.4,44413.98,9590.28,25063.43,24974.48,22878.06,3904.21,28843.67,21228.81,65437.38,113308.64,36244.33,15809.95,29074.608,"cell division protease FtsH [EC:3.4.24.-]"
"ko:K08303",29715.47,9763.92,16020.81,27615.37,33618.56,39882.6,10889.5,776.8,58819.89,15313.78,23639.21,37471.6,20512.48,6549.03,34636.47,19483.29,58703.55,64249.3,42549.32,31149.7,29068.0325,"putative protease [EC:3.4.-.-]"
"ko:K03671",27976.66,9830.73,17802.69,25306.14,44762.88,29194,19509.5,31424.4,53015.41,15266.62,21598.78,31552.64,30052.78,9272.48,28557.93,27379.78,63233.62,38331.39,37229.82,19282.7,29029.0475,"thioredoxin 1"
"ko:K07052",17458.86,11576.11,13316.17,18345.9,45576.26,64946.2,6776,977.6,61062.55,10828.87,20496.18,50162.1,43304.5,6287.92,27154.84,12080.86,18859.08,64894.63,40636.14,44549.9,28964.5335,"uncharacterized protein"
"ko:K01534",14166.42,10126.95,11634.6,18177.77,42962.99,65238.4,10283.75,632.2,42291.67,10718.3,20474.94,47390.17,34898.73,3571.19,29464.1,20404.18,48554.33,63243.34,44410.69,40134.35,28938.9535,"Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]"
"ko:K16785",14327.82,11833.92,8226.51,18194.7,56775.4,52031.7,4895,904.6,27455.01,10753.96,19744.52,63639.71,47629.07,3400.83,35248.2,12975.55,28409.79,64229.93,39425.67,51674.1,28588.7995,"energy-coupling factor transport system permease protein"
"ko:K02032",38815.09,12368.91,19958.32,35462.94,33287.98,46288,13530,2357.4,20652.55,18998.22,25513.72,26698.96,15904.08,9534.21,42351.48,28621.09,58798.71,62211.57,35343.95,21089.1,28389.314,"peptide/nickel transport system ATP-binding protein"
"ko:K03574",39395.62,14392.61,18425.5,26815.44,38790.06,47358,22669.25,2558.4,27840.52,19506.57,21347.79,40020.06,24825.57,8851.76,33168.14,36520.37,60213.12,7135.41,50492.23,22235.05,28128.0735,"8-oxo-dGTP diphosphatase [EC:3.6.1.55]"
"ko:K03424",27073.96,9300.67,15980.83,22607.17,29139.14,28232.5,19731.25,31659.4,50939.35,15012.72,22033.1,29948.4,21031.83,6528.04,28772.29,32821.58,75271.49,36603.22,38527.39,19642.35,28042.834,"TatD DNase family protein [EC:3.1.21.-]"
"ko:K03832",50253.29,11671.33,21871.9,34035.38,9923.06,34166.4,33927.25,3374,71851.97,24420.17,25698.18,16446.75,5448.64,11319.87,34797.71,42850.16,78160.77,4451.16,27112.25,13480.75,27763.0495,"periplasmic protein TonB"
"ko:K01928",15296.03,8054.85,9798.5,19231.97,44893.06,37573.8,10159.75,60999.8,36314.22,9950.43,18025.18,38247.59,35423.33,3580.35,25302.49,18674.9,45694.85,58391.97,30460.46,27965.95,27701.974,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]"
"ko:K01358",15486.87,8761.37,11628.05,23443.67,39867.38,23218,10143.75,32257.8,41469.29,10393.53,22220.89,34645.56,25403.88,3833.32,27965.29,20171.28,51337.01,86751.72,31054.35,27940.55,27399.678,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
"ko:K01714",27433.64,8917.22,10984.82,23429.77,32441.47,53980.5,15492.75,32681.4,49042.69,14402.03,21192.13,27015.17,19784.52,6469.93,27547.2,29944.48,60018.05,33834.25,29677.99,18956.85,27162.343,"4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]"
"ko:K00790",15317.42,8214.85,11172.03,19211.97,42074.38,37625.8,10143.75,31500.8,39441.86,10197.61,19064.46,37480.17,32646.15,3756.99,26037.41,20519.3,50780.52,61507.85,35967.31,28027.95,27034.429,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]"
"ko:K01465",26588.01,8653.67,8996.84,26659.67,29374.67,40551.2,14169.5,32222.4,35904.15,14393.04,22880.93,26341.55,21390.11,6422.69,29808.75,24046.86,60804.88,60786.55,31422.25,18955.1,27018.641,"dihydroorotase [EC:3.5.2.3]"
"ko:K01409",14388.26,8198.12,10855.29,18214.77,44599.88,38360,10146.75,32347.8,38740.1,10075.19,18635.23,37714.02,32478.84,3579.83,25937.32,20180.33,50867.29,61101.76,34810.69,28027.35,26962.941,"N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]"
"ko:K00134",26808.99,8748.62,15587.9,22498.24,29441.18,43510,14303.75,31351.4,34289.71,14022.32,20343.06,30027.68,21009.38,6609.63,28383.28,25371.3,71360.24,36214.61,40348.43,18782.45,26950.6085,"glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"ko:K00799",62607.95,13740.5,24114.02,42106,9310.74,21744.1,21675.5,34064,5433.77,28591.5,28751.94,16159.3,1538.56,17213.29,42388.08,39700.81,76718.51,4271.81,29261.25,15043,26721.7315,"glutathione S-transferase [EC:2.5.1.18]"
"ko:K02356",26744.81,10678.74,14556.97,22465.27,33389.6,26094.8,18671.75,31352.8,32488.96,15044.52,22056.94,28496.85,24629.54,6267.33,29693.39,31060.18,69490.45,33792.84,33792.66,23582.85,26717.5625,"elongation factor P"
"ko:K02071",27094.27,11857.69,10172.73,22322.77,22332.63,67757.6,13614.75,1794.2,18585.43,14546.81,20414.04,48006.44,27130.6,6219.52,33335.36,24882.74,52284.72,33709.85,34796.47,42808.85,26683.3735,"D-methionine transport system ATP-binding protein"
"ko:K07552",62685.04,13792.38,21631.62,42273.27,9378.28,22709.4,25364.5,61989,5750.14,27809.83,28223.4,14803.92,2748.25,14294.08,40944.9,40738.38,46271.67,4135.66,28307.17,15317,26458.3945,"MFS transporter, DHA1 family, multidrug resistance protein"
"ko:K01921",26582.04,8957.67,11791.48,26656.27,30287.07,26124,15065.75,31265.4,52345.96,14201.72,22895.53,25655.09,19918.46,6408.33,31125.65,24509.69,45403.19,60441.48,29129.39,18860.85,26381.251,"D-alanine-D-alanine ligase [EC:6.3.2.4]"
"ko:K03386",25347.17,8387.94,14487.5,29686.37,9650.32,26596.4,14168.75,34220.4,37174.51,14067.95,24769.95,21752.68,12403.02,6422.2,29746.18,25529.27,63561.61,83711.55,26114.38,18670.25,26323.42,"peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]"
"ko:K00537",38344.8,10779.44,14669.26,30698.2,23952.36,29891.8,18262.5,880.4,30224.56,18874.8,23918.01,29326.04,28115.85,8992.46,34720.36,29501.54,65465.46,32852.5,33579.18,21770,26240.976,"arsenate reductase (glutaredoxin) [EC:1.20.4.1]"
"ko:K03530",26636.81,8530.67,13888.55,22546.84,33844.45,27222.2,16081.25,32452.4,64033.21,13998.72,19042.36,26983.12,20327.5,6181.33,27386.2,23715.4,56121.43,32908.01,30570.88,19527.35,26099.934,"DNA-binding protein HU-beta"
"ko:K02761",15311.48,8659.36,5076.1,13439,50127.66,146388.9,5194,823.2,15587.2,8534.34,13277.98,44113.5,61029.45,4051.8,26708.11,7770.56,13168.36,31670.12,15497.43,31940.5,25918.4525,"cellobiose PTS system EIIC component"
"ko:K01752",27297.95,9816.35,14821.08,27445.07,44763.26,40166.8,9815,1927.8,35841.16,13964.44,21914.65,38516.78,30208.16,6312.41,31303.56,16587.85,22339.99,60317.08,34516.13,30261.2,25906.836,"L-serine dehydratase [EC:4.3.1.17]"
"ko:K03588",15327.19,8030.85,10251.04,19362.47,41851.81,36409.8,10063.75,31419.8,36081.86,9622.61,18433.18,33391.77,25847.66,3587.66,26272.9,19314.87,48654.71,59368.55,32669.49,27919.95,25694.096,"cell division protein FtsW"
"ko:K06177",26546.21,11564.57,12728.34,22185.1,14219.46,41763.6,14487.75,1708.2,34680.06,15016.16,20512.84,46266.98,24177.98,3547.33,32889.47,24940.52,57609.15,32576.67,33436.5,42972.85,25691.487,"tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]"
"ko:K00845",39675.67,11896.95,14589.74,31581.77,39418.53,27088.5,20414,1667.4,62033.97,19462.01,23611.55,29039.11,23697.89,9344.71,31049.25,28128.04,24100.12,31638.39,21580.2,21494.1,25575.595,"glucokinase [EC:2.7.1.2]"
"ko:K00123",51093.88,11508.61,23977.3,44907.58,9128.85,15639.5,21480.75,543,17107.67,23552.24,32206.46,12389.35,2944.35,11941.73,38643.84,36143.01,60028.62,60838.33,24831.84,12031.85,25546.938,"formate dehydrogenase major subunit [EC:1.17.1.9]"
"ko:K03797",14220.56,7788.12,10274.41,18428.27,19100.61,25366,16491.5,3769.8,69533.2,10350.85,20231.33,33785.5,15248.36,3537.16,26663.39,25654.93,71302.99,59416.07,29968.66,28633.6,25488.2655,"carboxyl-terminal processing protease [EC:3.4.21.102]"
"ko:K03711",16128.8,9016.37,10602.29,20452.34,29400.72,37434.8,11089.75,1682.8,54557.25,10024.36,19122.28,37093.86,25020.44,3598.65,28060.26,19544.68,54692.47,60737.73,32174.69,28038.55,25423.6545,"Fur family transcriptional regulator, ferric uptake regulator"
"ko:K15583",26591.1,8128.74,14158.85,31367.4,24305.09,52760.8,8892,591.4,19411.31,12904.31,25212.64,30576.24,17689.11,6540.82,32542.66,22032.89,37366.44,84790.63,22199.47,25364.2,25171.305,"oligopeptide transport system ATP-binding protein"
"ko:K00995",27299.52,9385.74,14343.21,26536.57,26874,38935.5,17388.5,31373.4,17092.58,14223.14,21860.68,23631.96,19849.67,6333.83,28196.38,27526.81,47024.12,58410.24,28171.61,18902.7,25168.008,"CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]"
"ko:K00384",16379.54,6575.78,8591.67,16018.94,51031.64,25438.2,10053.75,62391.4,35932.85,9991.79,16375.49,28908.46,29622.54,3773.69,20989.76,19529.8,51583.75,38213.15,34739.2,15966.95,25105.4175,"thioredoxin reductase (NADPH) [EC:1.8.1.9]"
"ko:K06213",26754.73,7898.22,13206.22,23296.27,19017.51,40604.3,9586.75,59757.4,33616.85,13240.38,17364.59,24843.82,12400.25,6207.77,28113.11,19801.43,49940.63,33694.62,41786.28,18724.85,24992.799,"magnesium transporter"
"ko:K00567",26421.66,8728.67,17499.78,22344.77,33477.85,67554,15052.75,2076.4,46376.32,13746.72,18782.74,26222.72,22294.61,6223.34,26087.08,24103.25,44134.94,32698.79,27109.48,18788.85,24986.236,"methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]"
"ko:K02040",14275.51,9112.24,10243.63,14191.44,26628.91,37416.5,15575.75,32150.8,48563.65,9980.01,16863.63,38177.13,26189.19,3426.69,23158.82,24861.25,58458.31,33520.12,26702.37,28254.35,24887.515,"phosphate transport system substrate-binding protein"
"ko:K03215",15321.87,6285.97,11357.79,19309.77,51537.03,38110,9904.75,1820.4,36458.26,9004.41,18758.23,30744.23,34933.49,3616.29,23312.01,19246.41,50884.84,62019.33,39233.97,15761.55,24881.03,"23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]"
"ko:K01265",28217.86,8943.67,15351.55,23452.57,33504.72,39607,14081.75,31398.4,32183.41,13910.69,19978.64,26827.08,20649.53,6390.68,29077.26,24135.55,45337.23,35025.36,30379.56,18693.85,24857.318,"methionyl aminopeptidase [EC:3.4.11.18]"
