"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY-7791",16901.4688550216,6708.25426309413,7669.36362943736,16091.8876758156,31847.088702566,26114.031732255,11630.1053997387,34172.7387709166,34675.6133164878,9801.48482485506,14517.236980247,25683.6597643601,21799.8338122899,3936.77081234922,21133.218363679,17381.1283987547,42303.4481401436,34088.0503923111,26892.0328915054,17792.3222671832,21056.9869496506,42303.4481401436,21095.1026566648,23,115,"UMP biosynthesis III","ump biosynthesis iii","Biosynthesis"
"PWY-6121",15617.552499696,7189.74367575086,9804.04413397533,15264.0416002217,25236.3466783937,25935.7980584298,10879.5440068206,34587.379903138,33340.8883684001,9554.58287311093,14944.8470258437,26289.1526902141,18876.3629820542,3749.82270389687,21651.7965868447,19109.0484600193,47222.6587245717,32849.3055773075,28050.0914993578,18722.3563163007,20943.7682182174,47222.6587245717,20026.4083391183,23,115,"5-aminoimidazole ribonucleotide biosynthesis I","5-aminoimidazole ribonucleotide biosynthesis i","Biosynthesis"
"PEPTIDOGLYCANSYN-PWY",15086.1825560982,6469.6052385493,9572.0561781741,15608.2573231938,29285.8303608244,24639.4506848573,10785.5787901305,32881.5239465267,34904.4572787786,9123.37146731076,15054.0432995404,25236.4533198322,21094.1742529227,3595.68842918141,20730.781228952,18640.9827397203,44790.786689829,37560.7886363805,25625.872372892,17644.3679456437,20916.5126369669,44790.786689829,20823.6469329594,23,115,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","peptidoglycan biosynthesis i (meso-diaminopimelate containing)","Biosynthesis"
"PWY-6122",14158.4243467653,6925.89018158334,9686.08775981879,14130.744122181,26678.8740782993,26104.8320497853,10279.6492459079,35550.930585976,34140.6833342174,8850.66053028471,14190.5170931339,26726.3133186984,20198.1863535297,3410.92570807838,20595.8739536768,18270.1107210075,44964.8791454828,32835.8670163691,27536.9180119307,18670.6445441817,20695.3506050454,44964.8791454828,20397.0301536033,23,115,"5-aminoimidazole ribonucleotide biosynthesis II","5-aminoimidazole ribonucleotide biosynthesis ii","Biosynthesis"
"PWY-6277",14158.4243467653,6925.89018158334,9686.08775981879,14130.744122181,26678.8740782993,26104.8320497853,10279.6492459079,35550.930585976,34140.6833342174,8850.66053028471,14190.5170931339,26726.3133186984,20198.1863535297,3410.92570807838,20595.8739536768,18270.1107210075,44964.8791454828,32835.8670163691,27536.9180119307,18670.6445441817,20695.3506050454,44964.8791454828,20397.0301536033,23,115,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","Biosynthesis"
"PWY-5686",16901.4688550216,6708.25426309413,8284.76426614451,16091.8876758156,31847.088702566,26114.031732255,11630.1053997387,34172.7387709166,34675.6133164878,9801.48482485506,14517.236980247,25683.6597643601,21799.8338122899,3936.77081234922,21133.218363679,18165.7321550312,43517.454913384,20570.0806131258,26892.0328915054,17792.3222671832,20511.7890190025,43517.454913384,20540.9348160641,23,115,"UMP biosynthesis I","ump biosynthesis i","Biosynthesis"
"PWY-7790",16901.4688550216,6708.25426309413,7669.36362943736,16091.8876758156,31847.088702566,27776.1277568714,11630.1053997387,34172.7387709166,34675.6133164878,9801.48482485506,14517.236980247,25683.6597643601,21799.8338122899,3936.77081234922,21133.218363679,17381.1283987547,42303.4481401436,20570.0806131258,26892.0328915054,17792.3222671832,20464.1932619221,42303.4481401436,20517.1369375239,23,115,"UMP biosynthesis II","ump biosynthesis ii","Biosynthesis"
"PWY-2942",19239.4522595334,7266.6093736048,8214.13168324357,18112.1051190225,29522.6817244089,26034.1681573108,11478.2101546819,4344.84136025858,34929.2284327097,10832.5705214401,16484.124727127,24378.9309890017,19171.0442593965,4502.76996292921,21998.538148791,19701.2538426668,41971.0373317653,34437.1687674337,28782.9212247283,17584.1474132738,19949.2967726664,41971.0373317653,19470.3530511001,23,115,"L-lysine biosynthesis III","l-lysine biosynthesis iii","Biosynthesis"
"PWY-7221",14182.0650917255,6075.535273987,9212.16294777618,14044.3755066324,30895.7684225903,22087.5588385184,10021.2386062853,31246.597056754,29513.9847234512,8396.28506501841,13784.1686571191,23736.7346040561,21338.1327276505,3415.90112667593,19088.5350403094,17535.3671518901,46747.2707926462,32425.4422441248,26710.3125787376,15847.861640264,19815.2649048106,46747.2707926462,19451.89997256,23,115,"guanosine ribonucleotides de novo biosynthesis","guanosine ribonucleotides de novo biosynthesis","Biosynthesis"
"COMPLETE-ARO-PWY",18308.3171382597,7523.08381735253,10669.8908050606,17239.227161884,21474.8137373153,25345.7329961528,12611.5455116992,1974.83927813896,27596.6853987107,10806.8503243954,16374.9380764532,25259.4492893465,14267.7693484268,4341.62609780802,21854.3399160593,21342.4235957845,45976.4705541305,33033.4083039348,25564.5405920804,18113.8924121987,18983.9922177596,45976.4705541305,18646.1546780097,23,115,"superpathway of aromatic amino acid biosynthesis","superpathway of aromatic amino acid biosynthesis","Biosynthesis"
"THRESYN-PWY",19754.9901927506,7809.01483719377,10873.6643904438,18412.4249944849,25374.6526258212,24630.8130367639,9504.76494390218,3065.67764097298,34351.8754660744,10598.5110561654,16976.3466308344,23700.988892431,15054.4990888444,4596.68594948469,22894.7855826753,16354.5678736249,35180.4690610196,34538.9893494745,25335.9740788743,18177.2410942574,18859.3468393047,35180.4690610196,18635.8859168948,23,115,"superpathway of L-threonine biosynthesis","superpathway of l-threonine biosynthesis","Biosynthesis"
"PWY-6386",14904.3523115721,6230.36070173616,9411.95520491762,15311.9642903627,28654.3489146395,24110.5557560493,9304.69375036296,6097.46875196355,36590.6859054061,8852.9160570771,14273.5845440402,24533.0801844903,20302.4374764734,3525.69809125393,20405.1210673569,15715.2083640332,39607.2340727553,36434.2374070846,25168.5504178069,17295.9177219284,18836.5185495655,39607.2340727553,18066.2181357469,23,115,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","udp-n-acetylmuramoyl-pentapeptide biosynthesis ii (lysine-containing)","Biosynthesis"
"GLYCOLYSIS",18106.3359501274,6892.77401863813,10641.462733494,17023.8659054388,27966.2240269569,22033.7428013124,10654.8716925183,2103.95729765849,31001.9169091465,9934.18085885104,15335.3506152881,24833.6279415106,18994.5274870641,4238.92033688006,21103.0482645847,17419.6048208305,39136.889301539,33866.8941670118,23902.1121574869,17091.9192752528,18614.1113280795,39136.889301539,18360.2236391035,23,115,"glycolysis I (from glucose 6-phosphate)","glycolysis i (from glucose 6-phosphate)","Energy Metabolism"
"PWY-6123",16749.9051549461,6802.53296101057,10064.6191671585,15657.5264144994,23329.9324207061,23197.931895793,11012.0543542602,31411.0591440371,27544.1927094696,9585.03841278347,14648.9238379591,24176.879678236,17316.9777625765,3927.77834319571,20001.5125241333,18822.6423794232,42220.1497350761,13093.6054388301,23817.9143857415,18029.6302698218,18570.5403494829,42220.1497350761,18300.0853096524,23,115,"inosine-5'-phosphate biosynthesis I","inosine-5'-phosphate biosynthesis i","Biosynthesis"
"PWY-6124",17417.833102295,6710.19142120131,10329.3209096403,16038.0329339963,24359.1246003634,23442.2832930781,11256.1737326954,31453.93518587,27246.1330430021,9878.93550693061,14875.4782784946,23487.6127346722,16995.4398784654,4071.26392325841,20346.1280457597,19138.994024197,42169.9444599593,11703.5434153587,23495.4928893035,16851.2400495024,18563.3550714022,42169.9444599593,17990.5940868486,23,115,"inosine-5'-phosphate biosynthesis II","inosine-5'-phosphate biosynthesis ii","Biosynthesis"
"COA-PWY",14310.1678863992,6248.12855384268,9105.69542559732,14975.976456542,25035.1092963467,24335.8256057923,9977.44242759203,3273.47666609727,30741.9571211942,8657.24373830139,14575.2710076464,24495.582217453,20039.3852578779,3372.47814912412,20016.2457188541,17686.0172595352,43848.5561515511,36399.2267424635,24977.7069650745,17702.404523099,18488.6948585192,43848.5561515511,18095.5496908091,23,115,"coenzyme A biosynthesis I (prokaryotic)","coenzyme a biosynthesis i (prokaryotic)","Biosynthesis"
"POLYISOPRENSYN-PWY",15743.9291139764,6630.8499935039,10660.0977003622,15831.4381493555,22666.3168513883,25821.2115136478,10167.4323403273,8803.83746695989,29006.5324538245,8744.33096530712,13899.2713504527,23471.5269933154,19204.7991463842,3755.94661232064,20091.7144488123,17355.7174532646,43052.4128404116,36661.7549003493,18159.2233016378,17733.8247253824,18373.1084160492,43052.4128404116,17946.5240135101,23,115,"polyisoprenoid biosynthesis (E. coli)","polyisoprenoid biosynthesis (e. coli)","Biosynthesis"
"PWY0-1296",27356.9016397006,8715.70413860862,14018.8094886676,23090.6159874048,19411.2582942369,32575.3753413536,9366.62324776651,729.96820279874,11209.1737654795,13330.30353951,18791.5601226168,23758.7950980215,15263.2946929094,6344.62579959042,25784.7409012294,17773.7506818877,41289.2930836253,11497.5653724626,24438.9252790744,21732.5836409433,18323.9934158944,41289.2930836253,18557.7767692556,23,115,"purine ribonucleosides degradation","purine ribonucleosides degradation","Degradation"
"ARO-PWY",16736.9935193027,7094.69742803695,9885.82664895889,16101.163473382,20623.2962122682,23275.2840782142,11679.2619650683,1834.56756706042,29491.2357117849,10011.6510059083,15552.3626796523,24711.1538682152,14061.8619287024,3982.96324071479,20719.5275775068,19995.2422598645,44862.5796334912,32617.6675043014,24131.6209984151,18017.2108525514,18269.30840767,44862.5796334912,18143.2596301107,23,115,"chorismate biosynthesis I","chorismate biosynthesis i","Biosynthesis"
"SER-GLYSYN-PWY",18468.3946899511,6532.47411584309,10145.7605503445,17032.4014600052,21221.91398757,24596.986012915,10618.5785492517,2270.51656453635,29113.7771691838,10239.1333849297,15355.2010998558,15553.2757371683,9642.13446372447,4310.60823161255,22126.9891159868,18749.5167369273,54398.1400751968,32186.1130874597,27896.3987585023,9879.83310658435,18016.9073448774,54398.1400751968,17524.6544024413,23,115,"superpathway of L-serine and glycine biosynthesis I","superpathway of l-serine and glycine biosynthesis i","Biosynthesis"
"COA-PWY-1",14240.5171969263,5884.95238907314,9055.53864066049,14767.837890674,26233.9633970076,22007.2446940693,9913.11864626752,2585.11275684761,30037.4799041134,8431.75003222936,14176.1025262439,22598.5690573412,19026.5594438343,3367.55392647204,19464.3476179476,17576.5152114607,43328.0894288182,35457.3732751454,24283.8379971248,15753.9134452462,17909.5188738751,43328.0894288182,17743.0170426679,23,115,"superpathway of coenzyme A biosynthesis III (mammals)","superpathway of coenzyme a biosynthesis iii (mammals)","Biosynthesis"
"PWY-6163",15503.7073124149,7126.026984821,9479.06961639218,15100.0394839143,19829.4481908511,22819.7416372821,11348.955324611,1877.25844606645,29938.4892476053,9507.37587481995,14932.6040823601,24841.0747854607,14309.7368981395,3716.7380510994,20026.4713019726,19313.7004954467,43744.6832481915,32635.8239788625,23462.491177387,17978.6920981784,17874.6064117938,43744.6832481915,17926.6492549861,23,115,"chorismate biosynthesis from 3-dehydroquinate","chorismate biosynthesis from 3-dehydroquinate","Biosynthesis"
"PWY-7851",14291.7852365275,5867.00829281714,9039.89215164904,14967.9245568215,25035.1092963467,21873.4974283951,9916.71732800565,2985.99730013058,30224.328556521,8433.80253540814,14309.3026670005,22370.8823217947,18714.4883860811,3372.47814912412,19163.8144804427,17611.7205964812,43279.8345007157,36304.1783636761,23369.7688711262,15758.8119102917,17844.5671464678,43279.8345007157,17728.1438714745,23,115,"coenzyme A biosynthesis II (eukaryotic)","coenzyme a biosynthesis ii (eukaryotic)","Biosynthesis"
"PWY-7357",17445.1122166417,6104.05034730759,10997.0714313351,16274.1542330649,29653.0388115216,11829.3559903463,6443.29739654957,2592.92107064699,32924.9895024174,9236.32273389393,14458.6062124732,27013.5372812218,17040.4155937649,3931.65575299734,21127.0829971628,13647.7797096409,35327.0308738862,34716.7912939876,28464.6650673271,17433.1105388128,17833.04945275,35327.0308738862,17236.7630662889,23,115,"thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","Other Metabolic Pathways"
"PWY-5484",18048.2546447656,6734.22426956567,10400.7570909455,16983.7660584407,26999.9327914717,19253.4742656949,9368.16403304726,1716.84874457132,29859.7726228285,9609.13214252193,14762.7377598011,24696.0046062763,17233.1489109652,4216.64040813559,20642.984122736,15414.2015820545,36154.0696425153,33725.6439594739,22240.1648159525,17012.115523991,17753.6018997877,36154.0696425153,17493.3754053764,23,115,"glycolysis II (from fructose 6-phosphate)","glycolysis ii (from fructose 6-phosphate)","Energy Metabolism"
"PWY-5384",20579.6214082796,7839.11524816474,10163.4181902734,18469.354559224,29898.0857517845,31086.1159727471,11909.4630077743,2215.43719588969,25762.360770942,11647.7169586074,15974.9372581842,24757.7138596148,19331.3771048825,4864.73672968911,21719.8276511143,20676.5342318261,30083.19563341,5502.69940545514,21442.79550833,18020.4708977878,17597.248867199,31086.1159727471,18900.3658320533,23,115,"sucrose degradation IV (sucrose phosphorylase)","sucrose degradation iv (sucrose phosphorylase)","Degradation"
"PWY-3841",15977.2330222714,6306.5229186581,9652.31943287684,14827.2965898086,24702.1335922385,23233.4281581229,10730.9577739878,4080.41174889348,28005.4950359127,9173.4568234858,13922.2789700921,23191.7077871532,18424.9690744217,3739.49276995016,20857.4194024883,18436.193740515,47507.49040462,15177.8751157121,25486.4485099863,16454.3106250048,17494.37207481,47507.49040462,16974.3413499074,23,115,"folate transformations II (plants)","folate transformations ii (plants)","One-Carbon Metabolism"
"TRNA-CHARGING-PWY",15026.0075051111,5892.29483147004,9613.84259025225,14914.5676930211,27901.2944525252,19000.2084684156,9627.78684038986,3620.06991252562,30331.8594868544,8616.93195214893,14058.6256963262,20359.341934707,16470.4756164078,3601.77668524782,19300.3361458077,17074.9746738939,42578.9282010491,34575.1939869803,23031.3427817088,12524.927052684,17406.0393253763,42578.9282010491,16772.7251451508,23,115,"tRNA charging","trna charging","Other Metabolic Pathways"
"ANAGLYCOLYSIS-PWY",18477.668470356,7101.04631757954,10412.8192164711,16333.9318421729,29876.6020520381,22594.8981692638,10881.504066452,2104.44808479511,31603.3939163171,10224.7921804684,14257.7268334253,25288.9911479483,19643.1757539116,4308.20343785925,21525.9413527997,17010.0561789664,31361.6915415433,13998.5982162225,23104.1761141477,17654.9790632253,17388.2321977982,31603.3939163171,17521.6056305118,23,115,"glycolysis III (from glucose)","glycolysis iii (from glucose)","Energy Metabolism"
"PWY-6700",14063.7798787921,5920.50447669396,7264.56682376975,13982.8392480148,18123.9466436216,21967.3534386769,11029.4730818114,2140.07077103483,32530.0626843287,8635.43194739965,13891.4152296723,24199.1294343666,14494.0814923298,3295.09611237712,19436.9636205262,18316.0931573269,43345.6900649984,32308.0472164406,23747.4168260383,17753.1370843457,17322.2549616283,43345.6900649984,17537.696022987,23,115,"queuosine biosynthesis I (de novo)","queuosine biosynthesis i (de novo)","Biosynthesis"
"GLUCONEO-PWY",18364.9913130303,6053.12001468556,10862.9151928758,17407.0233859497,26355.3492475989,18352.9492334091,9714.53475277018,3314.64366255113,27667.7780671178,9799.7092965083,15271.8964786148,19085.3998880839,13506.2609539551,4329.75946791619,21143.9246229421,17138.7105857234,37370.0094121233,34805.1804247386,24523.8156952572,11364.1197373802,17321.6045716616,37370.0094121233,17364.3139788056,23,115,"gluconeogenesis I","gluconeogenesis i","Energy Metabolism"
"PWY-841",16795.8093054944,6298.69781050546,9531.80351529271,14230.9574486869,18659.8970026869,17391.4557834412,11208.7183575766,33688.0580744356,28024.4744941898,9310.61649331798,13100.1346110265,19686.1476290121,16793.0196853423,3903.93997591762,18999.4625934534,18807.1185758185,44085.3154814083,9046.60945301206,24003.7729455779,10354.6279734221,17196.0318604809,44085.3154814083,16995.9205829876,23,115,"superpathway of purine nucleotides de novo biosynthesis I","superpathway of purine nucleotides de novo biosynthesis i","Biosynthesis"
"PWY-3001",19003.4455045104,7100.34386390435,9447.52284197071,16155.2579614412,25607.8230952102,25171.391162275,10201.3169019712,2574.58003541812,30591.1865933254,10361.1049772694,13943.8454203503,20300.0268589429,13967.567345594,4279.04599529088,19922.3719830861,17230.7739446027,38234.4664316908,13200.4045677062,25754.9306334889,14492.0865377241,16876.9746327886,38234.4664316908,16516.1162971149,23,115,"superpathway of L-isoleucine biosynthesis I","superpathway of l-isoleucine biosynthesis i","Biosynthesis"
"UDPNAGSYN-PWY",14100.8675444914,6056.951931696,6329.06937090851,13918.0491174829,24524.4668797812,22730.9658630284,10554.6404442999,4042.46333251515,15924.3734665127,8377.33754628999,13605.9169933494,21798.99529286,19058.9816088286,3353.68008782225,17939.8872618817,18273.2938159827,44861.0085645951,31922.1980363502,22187.8553137919,15720.657365133,16764.08299188,44861.0085645951,16344.2282291964,23,115,"UDP-N-acetyl-D-glucosamine biosynthesis I","udp-n-acetyl-d-glucosamine biosynthesis i","Biosynthesis"
